epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,train_unif,fsq_val_total,val_recon,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_perplexity,val_code_usage_pct,val_code_perplexity
33,1.710352,1.710352,0.3980,0.7938,0.5936,0.6793,0.0000,1.572872,1.572872,0.4167,0.4819,0.7805,0.5959,0.0000,-0.1375,3.8e-03,358.3,4.060015,4.048171,1.184445e-02,3.889345,3.877147,1.219826e-02,-0.1707,9.999999e-01,1.050446e-01,9.5e-04,100.00,507.55,100.00,480.96
34,1.703932,1.703932,0.3971,0.8032,0.6101,0.6934,0.0000,1.509438,1.509438,0.4303,0.3666,0.8878,0.5189,0.0000,-0.1945,3.8e-03,359.6,3.976960,3.965273,1.168783e-02,3.865150,3.856610,8.540738e-03,-0.1118,9.999999e-01,9.662218e-02,9.5e-04,100.00,513.26,100.00,504.49
35,1.690577,1.690577,0.3996,0.8039,0.6219,0.7013,0.0000,1.463483,1.463483,0.4381,0.5764,0.7268,0.6429,0.0000,-0.2271,3.8e-03,358.7,3.989309,3.977983,1.132601e-02,3.703630,3.693147,1.048254e-02,-0.2857,9.999999e-01,1.101736e-01,9.5e-04,100.00,518.39,100.00,485.94
36,1.673226,1.673226,0.4018,0.8054,0.6239,0.7031,0.0000,1.480639,1.480639,0.4307,0.5132,0.7610,0.6130,0.0000,-0.1926,3.8e-03,358.0,3.962789,3.950449,1.233959e-02,3.807715,3.797864,9.851151e-03,-0.1551,9.999999e-01,8.953166e-02,9.4e-04,100.00,507.51,100.00,497.74
37,1.668710,1.668710,0.4009,0.8123,0.6370,0.7140,0.0000,1.495649,1.495649,0.4258,0.5855,0.6683,0.6241,0.0000,-0.1731,3.8e-03,359.3,3.897553,3.885181,1.237196e-02,3.700398,3.688180,1.221766e-02,-0.1972,9.999999e-01,9.933306e-02,9.4e-04,100.00,511.89,100.00,489.10
38,1.661324,1.661324,0.4019,0.8049,0.6347,0.7097,0.0000,1.545786,1.545786,0.4152,0.5508,0.6610,0.6009,0.0000,-0.1155,3.7e-03,358.7,3.924950,3.912232,1.271769e-02,3.899460,3.888075,1.138519e-02,-0.0255,9.999999e-01,8.707816e-02,9.3e-04,100.00,508.50,100.00,486.23
39,1.657309,1.657309,0.4023,0.8125,0.6464,0.7200,0.0000,1.495622,1.495622,0.4270,0.5393,0.7195,0.6165,0.0000,-0.1617,3.7e-03,357.9,3.898446,3.886641,1.180500e-02,3.639701,3.627906,1.179459e-02,-0.2587,9.999999e-01,7.986446e-02,9.3e-04,100.00,518.77,100.00,505.23
40,1.648918,1.648918,0.4037,0.8116,0.6515,0.7228,0.0000,1.523780,1.523780,0.4228,0.5581,0.7146,0.6267,0.0000,-0.1251,3.7e-03,359.7,3.848371,3.835960,1.241118e-02,3.838457,3.822149,1.630849e-02,-0.0099,9.999999e-01,8.992832e-02,9.3e-04,100.00,517.91,100.00,463.83
41,1.638739,1.638739,0.4046,0.8201,0.6613,0.7322,0.0000,1.458512,1.458512,0.4348,0.5560,0.7268,0.6300,0.0000,-0.1802,3.7e-03,358.8,3.793733,3.781182,1.255099e-02,3.474784,3.464220,1.056377e-02,-0.3189,9.999999e-01,8.554488e-02,9.2e-04,100.00,516.35,100.00,506.46
42,1.638917,1.638917,0.4039,0.8255,0.6674,0.7381,0.0000,1.505039,1.505039,0.4213,0.7545,0.6146,0.6774,0.0000,-0.1339,3.7e-03,357.9,3.777646,3.765842,1.180422e-02,3.948134,3.933822,1.431125e-02,0.1705,9.999999e-01,8.138779e-02,9.2e-04,100.00,522.12,100.00,476.69
