epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,train_unif,fsq_val_total,val_recon,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
29,2.642716,2.642716,0.3904,0.3333,0.0001,0.0001,2.474443,2.474443,0.4114,0.0000,0.0000,0.0000,-0.1683,3.7e-03,200.8,9.565984,9.541109,2.487460e-02,8.916916,8.892776,2.414047e-02,-0.6491,9.999999e-01,8.138211e-02,9.4e-04,100.00,55.69,100.00,55.28
30,2.565658,2.565658,0.4054,0.3889,0.0005,0.0010,2.295607,2.295607,0.4492,0.0000,0.0000,0.0000,-0.2701,3.7e-03,200.0,8.902338,8.877598,2.473950e-02,8.081237,8.056772,2.446479e-02,-0.8211,9.999999e-01,8.028111e-02,9.3e-04,100.00,53.87,100.00,51.96
31,2.530858,2.530858,0.4115,0.3545,0.0026,0.0052,2.408165,2.408165,0.4266,0.0000,0.0000,0.0000,-0.1227,3.7e-03,199.7,8.330809,8.307703,2.310609e-02,7.909467,7.884922,2.454496e-02,-0.4213,9.999999e-01,7.154089e-02,9.3e-04,100.00,54.37,100.00,52.83
32,2.527595,2.527595,0.4123,0.4506,0.0211,0.0402,2.323308,2.323308,0.4488,0.2000,0.0073,0.0141,-0.2043,3.7e-03,199.2,7.826115,7.805862,2.025279e-02,7.225459,7.207119,1.833978e-02,-0.6007,9.999999e-01,6.593753e-02,9.2e-04,100.00,56.96,100.00,56.84
33,2.512693,2.512693,0.4154,0.4551,0.0712,0.1231,2.286245,2.286245,0.4532,0.3043,0.0171,0.0323,-0.2264,3.7e-03,199.0,7.351361,7.333458,1.790324e-02,6.603433,6.586268,1.716436e-02,-0.7479,9.999999e-01,6.027552e-02,9.2e-04,100.00,60.80,100.00,59.22
34,2.493496,2.493496,0.4192,0.4952,0.1016,0.1686,2.266849,2.266849,0.4544,0.2632,0.0122,0.0233,-0.2266,3.6e-03,199.1,6.932191,6.916320,1.587085e-02,6.283184,6.266687,1.649726e-02,-0.6490,9.999999e-01,5.699585e-02,9.1e-04,100.00,63.35,100.00,60.47
35,2.496630,2.496630,0.4176,0.5330,0.1340,0.2142,2.276980,2.276980,0.4515,0.3767,0.1341,0.1978,-0.2197,3.6e-03,199.9,6.509250,6.495815,1.343492e-02,6.081212,6.067449,1.376310e-02,-0.4280,9.999999e-01,5.417742e-02,9.0e-04,100.00,68.03,100.00,64.90
36,2.513645,2.513645,0.4120,0.5788,0.1875,0.2832,2.264232,2.264232,0.4535,0.3274,0.2244,0.2663,-0.2494,3.6e-03,199.9,6.225559,6.213116,1.244250e-02,5.727921,5.714464,1.345715e-02,-0.4976,9.999999e-01,5.078602e-02,9.0e-04,100.00,71.53,100.00,65.44
37,2.545027,2.545027,0.4050,0.5959,0.2153,0.3163,2.328997,2.328997,0.4361,0.3474,0.2610,0.2981,-0.2160,3.6e-03,199.1,5.953174,5.940959,1.221551e-02,5.626133,5.614734,1.139890e-02,-0.3270,9.999999e-01,5.200912e-02,8.9e-04,100.00,74.38,100.00,73.06
38,2.503202,2.503202,0.4115,0.5990,0.2491,0.3519,2.295424,2.295424,0.4458,0.3086,0.4049,0.3502,-0.2078,3.5e-03,199.1,5.790026,5.777547,1.247835e-02,5.461097,5.447152,1.394486e-02,-0.3289,9.999999e-01,4.726182e-02,8.8e-04,100.00,74.31,100.00,71.24
