epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
58,3.045297,2.613959,0.2685,0.8626,0.7426,0.7981,0.4313,2.962098,2.550777,0.2838,0.5982,0.8249,0.6935,0.4113,-0.0832,3.4e-03,161.7
59,3.043071,2.611523,0.2689,0.8631,0.7445,0.7995,0.4315,2.916346,2.530630,0.2853,0.6807,0.7985,0.7349,0.3857,-0.1267,3.4e-03,162.2
60,3.027715,2.606813,0.2698,0.8681,0.7563,0.8084,0.4209,2.918367,2.536674,0.2856,0.5955,0.8576,0.7029,0.3817,-0.1093,3.4e-03,161.7
61,3.020072,2.601261,0.2707,0.8722,0.7598,0.8121,0.4188,2.918892,2.531147,0.2860,0.6800,0.7868,0.7295,0.3877,-0.1012,3.3e-03,162.1
62,3.023091,2.597567,0.2714,0.8694,0.7598,0.8109,0.4255,2.913966,2.527817,0.2868,0.6372,0.8293,0.7206,0.3861,-0.1091,3.3e-03,161.6
63,3.025428,2.594376,0.2718,0.8689,0.7615,0.8117,0.4311,2.905338,2.513679,0.2886,0.6370,0.8268,0.7196,0.3917,-0.1201,3.3e-03,162.4
64,3.023606,2.590884,0.2724,0.8680,0.7542,0.8071,0.4327,2.909730,2.512099,0.2882,0.7215,0.7785,0.7489,0.3976,-0.1139,3.3e-03,161.9
65,3.010693,2.587200,0.2732,0.8657,0.7559,0.8071,0.4235,2.909057,2.512585,0.2896,0.7311,0.7693,0.7497,0.3965,-0.1016,3.2e-03,162.3
66,3.008000,2.583993,0.2736,0.8699,0.7627,0.8128,0.4240,2.907652,2.508076,0.2901,0.6474,0.8176,0.7226,0.3996,-0.1003,3.2e-03,161.8
67,3.002141,2.580121,0.2743,0.8724,0.7695,0.8177,0.4220,2.891505,2.501860,0.2908,0.6305,0.8283,0.7160,0.3896,-0.1106,3.2e-03,162.4
68,3.001493,2.576422,0.2747,0.8717,0.7668,0.8159,0.4251,2.905121,2.506379,0.2914,0.6486,0.8078,0.7195,0.3987,-0.0964,3.2e-03,161.9
69,2.997821,2.575006,0.2752,0.8673,0.7680,0.8146,0.4228,2.884441,2.504591,0.2909,0.6257,0.8449,0.7190,0.3799,-0.1134,3.1e-03,162.1
