epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
54,4.448270,4.106846,0.2790,0.9059,0.8393,0.8713,0.3414,4.438457,4.097556,0.2928,0.7131,0.8741,0.7854,0.3409,-0.0098,3.5e-03,173.5
55,4.447859,4.104687,0.2801,0.9033,0.8419,0.8715,0.3432,4.441785,4.105981,0.2911,0.8135,0.8127,0.8131,0.3358,-0.0061,3.5e-03,173.5
56,4.446349,4.103060,0.2804,0.9048,0.8456,0.8742,0.3433,4.436524,4.099111,0.2926,0.7822,0.8078,0.7948,0.3374,-0.0098,3.4e-03,174.8
57,4.443614,4.101803,0.2815,0.9047,0.8458,0.8743,0.3418,4.443283,4.097357,0.2932,0.7217,0.8678,0.7880,0.3459,-0.0003,3.4e-03,173.4
58,4.440389,4.099272,0.2824,0.9074,0.8470,0.8762,0.3411,4.438639,4.098646,0.2937,0.7569,0.8444,0.7982,0.3400,-0.0018,3.4e-03,173.7
59,4.439088,4.098186,0.2828,0.9086,0.8490,0.8778,0.3409,4.442731,4.099251,0.2933,0.8070,0.8034,0.8052,0.3435,0.0036,3.4e-03,173.7
60,4.439180,4.097375,0.2829,0.9051,0.8474,0.8753,0.3418,4.427337,4.097716,0.2944,0.7375,0.8605,0.7942,0.3296,-0.0118,3.4e-03,173.6
61,4.433750,4.094673,0.2842,0.9082,0.8530,0.8798,0.3391,4.434048,4.098235,0.2930,0.7182,0.8590,0.7823,0.3358,0.0003,3.3e-03,174.8
62,4.433844,4.093126,0.2846,0.9085,0.8517,0.8791,0.3407,4.436805,4.098555,0.2934,0.7345,0.8488,0.7875,0.3383,0.0030,3.3e-03,173.7
63,4.433411,4.091856,0.2851,0.9085,0.8495,0.8780,0.3416,4.436223,4.094975,0.2952,0.7645,0.8424,0.8016,0.3412,0.0028,3.3e-03,173.4
64,4.437494,4.091747,0.2852,0.9092,0.8539,0.8807,0.3457,4.456591,4.100414,0.2938,0.7092,0.8815,0.7860,0.3562,0.0191,3.3e-03,173.5
65,4.433810,4.089944,0.2861,0.9105,0.8519,0.8802,0.3439,4.435147,4.095543,0.2958,0.7988,0.8117,0.8052,0.3396,0.0013,3.2e-03,175.2
66,4.429047,4.087980,0.2869,0.9069,0.8516,0.8784,0.3411,4.437575,4.095038,0.2955,0.7456,0.8478,0.7934,0.3425,0.0085,3.2e-03,173.6
67,4.431171,4.086788,0.2873,0.9091,0.8545,0.8810,0.3444,4.432850,4.095299,0.2957,0.7444,0.8498,0.7936,0.3376,0.0017,3.2e-03,173.5
68,4.430119,4.084966,0.2880,0.9069,0.8524,0.8788,0.3452,4.429240,4.095600,0.2959,0.7616,0.8556,0.8059,0.3336,-0.0009,3.2e-03,173.5
69,4.431245,4.084599,0.2882,0.9070,0.8527,0.8790,0.3466,4.437621,4.096495,0.2959,0.7356,0.8629,0.7942,0.3411,0.0064,3.1e-03,173.4
70,4.428080,4.083061,0.2889,0.9112,0.8548,0.8821,0.3450,4.419924,4.092063,0.2973,0.7975,0.8244,0.8107,0.3279,-0.0082,3.1e-03,174.8
71,4.428037,4.081205,0.2895,0.9087,0.8541,0.8806,0.3468,4.435490,4.095423,0.2961,0.7656,0.8395,0.8008,0.3401,0.0075,3.1e-03,173.4
72,4.429407,4.080442,0.2902,0.9080,0.8538,0.8801,0.3490,4.436772,4.094985,0.2968,0.7070,0.8815,0.7846,0.3418,0.0074,3.1e-03,173.5
73,4.425349,4.078712,0.2906,0.9063,0.8502,0.8774,0.3466,4.433987,4.100673,0.2949,0.7064,0.8790,0.7833,0.3333,0.0086,3.1e-03,173.5
74,4.424562,4.078117,0.2910,0.9064,0.8563,0.8807,0.3464,4.425197,4.091530,0.2973,0.7405,0.8493,0.7912,0.3337,0.0006,3.0e-03,174.7
75,4.419484,4.075407,0.2920,0.9073,0.8573,0.8816,0.3441,4.435544,4.098704,0.2959,0.7468,0.8561,0.7977,0.3368,0.0161,3.0e-03,173.5
76,4.423733,4.075385,0.2920,0.9132,0.8664,0.8892,0.3483,4.434419,4.095575,0.2966,0.7577,0.8483,0.8005,0.3388,0.0107,3.0e-03,173.5
77,4.422058,4.074290,0.2924,0.9065,0.8589,0.8821,0.3478,4.431020,4.095943,0.2971,0.6907,0.8878,0.7769,0.3351,0.0090,2.9e-03,173.5
78,4.420784,4.072533,0.2932,0.9102,0.8597,0.8842,0.3483,4.448020,4.098557,0.2963,0.7082,0.8771,0.7836,0.3495,0.0272,2.9e-03,173.5
79,4.418115,4.070578,0.2941,0.9121,0.8630,0.8869,0.3475,4.438095,4.094426,0.2968,0.7803,0.8366,0.8074,0.3437,0.0200,2.9e-03,174.7
80,4.417235,4.069579,0.2945,0.9119,0.8631,0.8868,0.3477,4.437918,4.095825,0.2978,0.6530,0.9024,0.7577,0.3421,0.0207,2.9e-03,173.4
81,4.416545,4.068444,0.2950,0.9136,0.8623,0.8872,0.3481,4.433148,4.092767,0.2980,0.7593,0.8478,0.8011,0.3404,0.0166,2.8e-03,173.5
82,4.419553,4.067977,0.2950,0.9149,0.8666,0.8901,0.3516,4.435248,4.091787,0.2978,0.7150,0.8761,0.7874,0.3435,0.0157,2.8e-03,173.4
83,4.416791,4.067329,0.2954,0.9099,0.8629,0.8858,0.3495,4.434514,4.090567,0.2981,0.7766,0.8444,0.8091,0.3439,0.0177,2.8e-03,174.7
84,4.411922,4.064927,0.2963,0.9142,0.8677,0.8903,0.3470,4.441619,4.095281,0.2985,0.6396,0.9039,0.7491,0.3463,0.0297,2.8e-03,173.6
85,4.411971,4.063709,0.2970,0.9100,0.8643,0.8866,0.3483,4.429938,4.093658,0.2985,0.7219,0.8751,0.7912,0.3363,0.0180,2.7e-03,173.4
86,4.412299,4.062744,0.2974,0.9120,0.8682,0.8895,0.3496,4.432370,4.093769,0.2989,0.7846,0.8244,0.8040,0.3386,0.0201,2.7e-03,173.4
87,4.405520,4.060632,0.2980,0.9130,0.8755,0.8938,0.3449,4.435887,4.090036,0.2998,0.7984,0.8249,0.8114,0.3459,0.0304,2.7e-03,173.5
88,4.405146,4.059898,0.2984,0.9168,0.8725,0.8941,0.3452,4.434968,4.094696,0.2984,0.7512,0.8615,0.8025,0.3403,0.0298,2.7e-03,175.5
89,4.402363,4.058893,0.2990,0.9169,0.8725,0.8942,0.3435,4.442507,4.092435,0.3000,0.8304,0.7976,0.8136,0.3501,0.0401,2.6e-03,174.3
90,4.400143,4.057403,0.2997,0.9205,0.8758,0.8976,0.3427,4.433997,4.093562,0.2986,0.7509,0.8585,0.8011,0.3404,0.0339,2.6e-03,174.1
91,4.398481,4.056279,0.3003,0.9152,0.8707,0.8924,0.3422,4.422028,4.090442,0.3001,0.7370,0.8541,0.7912,0.3316,0.0235,2.6e-03,174.2
92,4.396055,4.054132,0.3010,0.9146,0.8738,0.8937,0.3419,4.440733,4.097202,0.2988,0.6786,0.8941,0.7716,0.3435,0.0447,2.5e-03,175.6
93,4.396024,4.053601,0.3014,0.9142,0.8742,0.8938,0.3424,4.432123,4.092405,0.3001,0.8116,0.8151,0.8133,0.3397,0.0361,2.5e-03,174.1
94,4.395015,4.052226,0.3016,0.9196,0.8768,0.8977,0.3428,4.432201,4.093495,0.3004,0.6931,0.8824,0.7764,0.3387,0.0372,2.5e-03,174.2
95,4.395397,4.051476,0.3021,0.9155,0.8717,0.8931,0.3439,4.446534,4.092434,0.3011,0.7119,0.8776,0.7861,0.3541,0.0511,2.5e-03,174.2
96,4.392720,4.050616,0.3027,0.9180,0.8751,0.8960,0.3421,4.435316,4.090924,0.3012,0.7083,0.8732,0.7822,0.3444,0.0426,2.4e-03,175.6
97,4.390934,4.049576,0.3029,0.9176,0.8789,0.8978,0.3414,4.442206,4.093352,0.2998,0.7961,0.8400,0.8175,0.3489,0.0513,2.4e-03,174.0
98,4.389011,4.047832,0.3036,0.9201,0.8812,0.9003,0.3412,4.435456,4.089724,0.3018,0.7332,0.8605,0.7917,0.3457,0.0464,2.4e-03,174.1
99,4.386287,4.046325,0.3043,0.9198,0.8817,0.9003,0.3400,4.423889,4.085259,0.3028,0.8222,0.8346,0.8284,0.3386,0.0376,2.3e-03,174.1
100,4.388642,4.045368,0.3048,0.9199,0.8774,0.8981,0.3433,4.432998,4.092328,0.3005,0.7621,0.8546,0.8057,0.3407,0.0444,2.3e-03,174.1
101,4.387479,4.044961,0.3051,0.9211,0.8775,0.8988,0.3425,4.439427,4.090010,0.3020,0.7297,0.8756,0.7960,0.3494,0.0519,2.3e-03,175.6
102,4.386369,4.044211,0.3054,0.9170,0.8750,0.8955,0.3422,4.437180,4.088246,0.3022,0.7203,0.8859,0.7946,0.3489,0.0508,2.3e-03,174.1
103,4.389885,4.043474,0.3057,0.9187,0.8768,0.8972,0.3464,4.426844,4.090672,0.3023,0.8169,0.8161,0.8165,0.3362,0.0370,2.2e-03,174.3
104,4.387182,4.042260,0.3060,0.9194,0.8806,0.8996,0.3449,4.439572,4.096781,0.3005,0.7620,0.8639,0.8098,0.3428,0.0524,2.2e-03,174.4
105,4.382478,4.040920,0.3066,0.9222,0.8870,0.9043,0.3416,4.439042,4.096090,0.3014,0.7729,0.8551,0.8119,0.3430,0.0566,2.2e-03,175.8
106,4.383678,4.040256,0.3070,0.9215,0.8851,0.9029,0.3434,4.420147,4.087563,0.3033,0.7581,0.8668,0.8088,0.3326,0.0365,2.2e-03,174.3
107,4.379681,4.038493,0.3076,0.9213,0.8816,0.9010,0.3412,4.432695,4.091147,0.3025,0.8101,0.8220,0.8160,0.3415,0.0530,2.1e-03,174.2
108,4.375989,4.037078,0.3085,0.9164,0.8857,0.9008,0.3389,4.426148,4.091511,0.3029,0.7750,0.8351,0.8039,0.3346,0.0502,2.1e-03,174.1
109,4.378310,4.037173,0.3087,0.9216,0.8850,0.9029,0.3411,4.435355,4.090086,0.3029,0.7505,0.8644,0.8034,0.3453,0.0570,2.1e-03,174.2
110,4.377235,4.035019,0.3091,0.9203,0.8865,0.9031,0.3422,4.422277,4.087054,0.3036,0.7982,0.8239,0.8108,0.3352,0.0450,2.0e-03,175.7
111,4.375235,4.034444,0.3097,0.9225,0.8907,0.9063,0.3408,4.438230,4.095010,0.3022,0.7088,0.8883,0.7885,0.3432,0.0630,2.0e-03,174.2
112,4.378753,4.034685,0.3096,0.9224,0.8805,0.9009,0.3441,4.439066,4.091020,0.3028,0.7676,0.8522,0.8077,0.3480,0.0603,2.0e-03,174.2
113,4.374311,4.032637,0.3104,0.9248,0.8874,0.9057,0.3417,4.435048,4.091536,0.3036,0.8042,0.8356,0.8196,0.3435,0.0607,2.0e-03,174.3
