epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,train_slow,train_unif,fsq_val_total,val_recon,val_slow,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,gamma_0,gamma_1,gamma_2,gamma_3
39,1.729827,1.729827,0.4100,0.6456,0.1666,0.2649,0.0000,1.730504,1.730504,0.4058,0.3346,0.2220,0.2669,0.0000,0.0007,3.7e-03,214.5,20.887473,20.841445,0.801147,-3.408658,20.795524,20.756124,0.736424,-3.424195,-0.0919,9.999999e-01,7.382166e-02,9.3e-04,1.814009,1.842713,1.139047,1.828016
40,1.723127,1.723127,0.4116,0.6517,0.1701,0.2698,0.0000,1.669426,1.669426,0.4188,0.4355,0.1976,0.2718,0.0000,-0.0537,3.7e-03,215.1,20.809776,20.763099,0.806908,-3.401429,20.643255,20.599225,0.782908,-3.426050,-0.1665,9.999999e-01,7.317059e-02,9.3e-04,1.824113,1.852837,1.160858,1.838573
41,1.722160,1.722160,0.4116,0.6451,0.1749,0.2751,0.0000,1.744831,1.744831,0.4077,0.5094,0.1317,0.2093,0.0000,0.0227,3.7e-03,214.5,20.765505,20.718536,0.809708,-3.400185,20.844617,20.799827,0.789413,-3.415062,0.0791,9.999999e-01,7.335679e-02,9.2e-04,1.833223,1.862289,1.179060,1.848058
42,1.727771,1.727771,0.4109,0.6469,0.1691,0.2681,0.0000,1.713373,1.713373,0.4106,0.3367,0.2415,0.2812,0.0000,-0.0144,3.7e-03,215.1,20.831205,20.784234,0.809495,-3.397816,20.738063,20.697665,0.744443,-3.404620,-0.0931,9.999999e-01,7.206846e-02,9.2e-04,1.838368,1.868320,1.174833,1.854442
43,1.730740,1.730740,0.4097,0.6585,0.1777,0.2798,0.0000,2.014041,2.014041,0.3636,0.5165,0.1146,0.1876,0.0000,0.2833,3.7e-03,214.5,20.815008,20.767636,0.812491,-3.387774,20.866549,20.819710,0.808977,-3.405883,0.0515,9.999999e-01,7.264602e-02,9.1e-04,1.842929,1.874074,1.171078,1.860582
44,1.741244,1.741244,0.4080,0.6382,0.1765,0.2766,0.0000,1.681225,1.681225,0.4196,0.2057,0.3366,0.2553,0.0000,-0.0600,3.6e-03,215.1,20.907496,20.858684,0.827029,-3.389095,20.714579,20.674461,0.740700,-3.395230,-0.1929,9.999999e-01,7.404900e-02,9.1e-04,1.848168,1.879674,1.180093,1.867036
45,1.739461,1.739461,0.4085,0.6591,0.1785,0.2810,0.0000,1.802816,1.802816,0.3930,0.2614,0.2805,0.2706,0.0000,0.0634,3.6e-03,215.1,20.870412,20.821688,0.826502,-3.392652,20.865516,20.820159,0.793168,-3.395928,-0.0049,9.999999e-01,7.266878e-02,9.0e-04,1.851447,1.883471,1.176375,1.870751
46,1.744308,1.744308,0.4075,0.6667,0.1794,0.2827,0.0000,1.732116,1.732116,0.4087,0.2560,0.3146,0.2823,0.0000,-0.0122,3.6e-03,214.5,20.818624,20.769943,0.825819,-3.390058,20.737157,20.693744,0.777825,-3.436951,-0.0815,9.999999e-01,7.150236e-02,9.0e-04,1.861340,1.894088,1.200979,1.881457
47,1.749471,1.749471,0.4062,0.6589,0.1789,0.2814,0.0000,1.699277,1.699277,0.4149,0.2995,0.2659,0.2817,0.0000,-0.0502,3.6e-03,215.1,20.816958,20.767822,0.831037,-3.396762,21.052494,21.007794,0.789196,-3.421946,0.2355,9.999999e-01,7.278398e-02,9.0e-04,1.868255,1.901324,1.210584,1.888366
48,1.750443,1.750443,0.4064,0.6484,0.1803,0.2821,0.0000,1.842949,1.842949,0.3877,0.4118,0.1707,0.2414,0.0000,0.0925,3.6e-03,214.4,20.861691,20.812027,0.836974,-3.403365,20.596308,20.555352,0.753073,-3.435151,-0.2654,9.999999e-01,7.178353e-02,8.9e-04,1.868982,1.902352,1.189208,1.889698
