epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
126,2.575761,0.460643,-3.321139,2.731951,3.1e-04,16.6
127,2.572522,0.459587,-3.322400,2.752588,3.0e-04,15.7
128,2.587546,0.458681,-3.316522,2.727675,2.9e-04,16.6
129,2.558312,0.457042,-3.320765,2.691923,2.9e-04,15.7
130,2.553181,0.457999,-3.322683,2.687643,2.8e-04,16.6
131,2.537921,0.458164,-3.323379,2.675918,2.7e-04,15.7
132,2.537680,0.458391,-3.323220,2.691485,2.7e-04,16.6
133,2.529929,0.458963,-3.327266,2.668300,2.6e-04,15.7
134,2.529216,0.458508,-3.327598,2.672189,2.5e-04,16.6
135,2.523853,0.457707,-3.327316,2.661413,2.5e-04,15.7
136,2.513590,0.458687,-3.329246,2.679369,2.4e-04,16.6
137,2.509319,0.458619,-3.326487,2.627077,2.3e-04,15.7
138,2.503043,0.459247,-3.328645,2.642199,2.3e-04,16.6
139,2.502108,0.458281,-3.329783,2.619180,2.2e-04,15.7
140,2.495544,0.459207,-3.332646,2.645401,2.1e-04,16.6
141,2.497715,0.458206,-3.330727,2.633306,2.1e-04,15.7
142,2.492213,0.459843,-3.331930,2.637676,2.0e-04,16.6
143,2.489184,0.457859,-3.331196,2.646677,2.0e-04,15.7
144,2.493677,0.456199,-3.326953,2.637856,1.9e-04,16.6
145,2.479305,0.457694,-3.330217,2.605614,1.8e-04,15.7
146,2.477265,0.455995,-3.330139,2.640275,1.8e-04,16.6
147,2.471039,0.455608,-3.329886,2.602077,1.7e-04,15.7
148,2.460877,0.456027,-3.332395,2.597353,1.7e-04,16.6
149,2.460768,0.457715,-3.332509,2.581485,1.6e-04,15.7
150,2.463306,0.456715,-3.333423,2.598400,1.5e-04,16.6
151,2.451108,0.456319,-3.334670,2.584125,1.5e-04,15.7
152,2.448332,0.455708,-3.335085,2.566253,1.4e-04,16.6
153,2.444015,0.456636,-3.335903,2.576268,1.4e-04,15.7
154,2.438146,0.456260,-3.335282,2.557575,1.3e-04,16.6
155,2.433006,0.456204,-3.337479,2.561737,1.3e-04,15.7
156,2.434588,0.456810,-3.337523,2.566936,1.2e-04,16.6
