epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
41,2.231845,2.231845,0.3577,0.7947,0.5914,0.6781,2.406357,2.406357,0.3195,0.5546,0.6561,0.6011,0.1745,9.2e-04,95.0,44.556407,44.556407,51.427749,51.427749,6.8713,5.269845e+01,5.269845e+01,,100.00,79.96,100.00,69.27
42,2.249196,2.249196,0.3542,0.7966,0.5907,0.6784,2.083028,2.083028,0.3837,0.5025,0.7317,0.5958,-0.1662,9.2e-04,95.5,44.232139,44.232139,43.050236,43.050236,-1.1819,4.284650e+01,4.284650e+01,,100.00,80.10,100.00,73.45
43,2.227764,2.227764,0.3582,0.8021,0.5996,0.6862,2.262811,2.262811,0.3520,0.5197,0.7073,0.5992,0.0350,9.1e-04,94.9,43.839748,43.839748,45.936799,45.936799,2.0971,4.973455e+01,4.973455e+01,,100.00,80.17,100.00,71.27
44,2.255809,2.255809,0.3528,0.7947,0.5892,0.6767,2.176748,2.176748,0.3639,0.6036,0.6463,0.6243,-0.0791,9.1e-04,94.9,43.914670,43.914670,43.648140,43.648140,-0.2665,4.181304e+01,4.181304e+01,,100.00,80.48,100.00,78.38
45,2.250359,2.250359,0.3535,0.8016,0.6000,0.6863,2.225255,2.225255,0.3581,0.6524,0.5585,0.6018,-0.0251,9.0e-04,94.8,43.740628,43.740628,44.121110,44.121110,0.3805,4.649589e+01,4.649589e+01,,100.00,80.09,100.00,75.22
46,2.248650,2.248650,0.3537,0.8039,0.6047,0.6902,2.112413,2.112413,0.3769,0.5470,0.6951,0.6122,-0.1362,9.0e-04,95.3,43.407570,43.407570,41.427199,41.427199,-1.9804,4.710237e+01,4.710237e+01,,100.00,80.26,100.00,76.75
47,2.245999,2.245999,0.3539,0.8038,0.6056,0.6908,2.313518,2.313518,0.3415,0.5610,0.6951,0.6209,0.0675,9.0e-04,94.9,43.192718,43.192718,49.533048,49.533048,6.3403,4.641737e+01,4.641737e+01,,100.00,80.29,100.00,65.47
48,2.245981,2.245981,0.3535,0.8026,0.6082,0.6920,2.224992,2.224992,0.3525,0.6025,0.7024,0.6486,-0.0210,8.9e-04,94.8,42.974783,42.974783,43.778292,43.778292,0.8035,4.477117e+01,4.477117e+01,,100.00,80.19,100.00,75.41
49,2.248459,2.248459,0.3527,0.8056,0.6210,0.7013,2.079792,2.079792,0.3832,0.7123,0.6341,0.6710,-0.1687,8.9e-04,94.8,42.822616,42.822616,41.314953,41.314953,-1.5077,4.766634e+01,4.766634e+01,,100.00,80.27,100.00,79.89
50,2.248261,2.248261,0.3523,0.8080,0.6099,0.6951,2.093036,2.093036,0.3809,0.5875,0.6878,0.6337,-0.1552,8.8e-04,94.8,42.913315,42.913315,41.256045,41.256045,-1.6573,4.857598e+01,4.857598e+01,,100.00,80.37,100.00,76.06
51,2.265881,2.265881,0.3490,0.8126,0.6118,0.6980,2.074379,2.074379,0.3845,0.6201,0.6610,0.6399,-0.1915,8.8e-04,94.9,42.779096,42.779096,41.044921,41.044921,-1.7342,4.564266e+01,4.564266e+01,,100.00,80.27,100.00,76.09
52,2.263581,2.263581,0.3490,0.8134,0.6190,0.7030,2.194749,2.194749,0.3603,0.6508,0.6683,0.6594,-0.0688,8.7e-04,94.9,42.638669,42.638669,42.452294,42.452294,-0.1864,4.558842e+01,4.558842e+01,,100.00,80.31,100.00,79.63
53,2.265241,2.265241,0.3486,0.8097,0.6135,0.6981,2.170307,2.170307,0.3642,0.6749,0.6024,0.6366,-0.0949,8.6e-04,94.9,42.404713,42.404713,41.870584,41.870584,-0.5341,4.362576e+01,4.362576e+01,,100.00,80.51,100.00,74.54
54,2.277918,2.277918,0.3462,0.8085,0.6151,0.6987,2.161916,2.161916,0.3642,0.7098,0.6561,0.6819,-0.1160,8.6e-04,94.9,42.494885,42.494885,41.801437,41.801437,-0.6934,4.604858e+01,4.604858e+01,,100.00,80.84,100.00,76.02
55,2.282606,2.282606,0.3448,0.8116,0.6176,0.7014,2.251960,2.251960,0.3513,0.7005,0.6390,0.6684,-0.0306,8.5e-04,94.9,42.173530,42.173530,44.243961,44.243961,2.0704,4.395475e+01,4.395475e+01,,100.00,81.30,100.00,74.67
56,2.275297,2.275297,0.3460,0.8196,0.6413,0.7196,2.171069,2.171069,0.3637,0.5754,0.7537,0.6526,-0.1042,8.5e-04,94.8,42.138138,42.138138,42.235404,42.235404,0.0973,4.493609e+01,4.493609e+01,,100.00,80.80,100.00,77.58
57,2.276601,2.276601,0.3461,0.8120,0.6169,0.7011,2.207873,2.207873,0.3538,0.5483,0.7756,0.6424,-0.0687,8.4e-04,94.8,42.020541,42.020541,42.358130,42.358130,0.3376,4.527190e+01,4.527190e+01,,100.00,81.09,100.00,79.26
58,2.286367,2.286367,0.3436,0.8091,0.6221,0.7034,2.141685,2.141685,0.3696,0.4941,0.8220,0.6172,-0.1447,8.4e-04,95.3,41.815896,41.815896,39.946764,39.946764,-1.8691,4.327290e+01,4.327290e+01,,100.00,81.03,100.00,78.39
59,2.284014,2.284014,0.3440,0.8165,0.6346,0.7142,2.193533,2.193533,0.3586,0.6659,0.7049,0.6848,-0.0905,8.3e-04,94.9,41.647721,41.647721,42.026283,42.026283,0.3786,4.357673e+01,4.357673e+01,,100.00,81.22,100.00,79.35
60,2.293719,2.293719,0.3418,0.8153,0.6331,0.7128,2.174638,2.174638,0.3615,0.7364,0.6268,0.6772,-0.1191,8.3e-04,94.9,41.375414,41.375414,40.535272,40.535272,-0.8401,3.989182e+01,3.989182e+01,,100.00,81.35,100.00,77.13
61,2.282653,2.282653,0.3436,0.8166,0.6313,0.7121,2.256476,2.256476,0.3469,0.6016,0.7366,0.6623,-0.0262,8.2e-04,94.9,41.467703,41.467703,41.809635,41.809635,0.3419,5.088649e+01,5.088649e+01,,100.00,80.98,100.00,76.56
62,2.278782,2.278782,0.3440,0.8239,0.6398,0.7203,2.212957,2.212957,0.3529,0.6029,0.7073,0.6510,-0.0658,8.1e-04,95.3,41.625835,41.625835,41.717371,41.717371,0.0915,5.316923e+01,5.316923e+01,,100.00,81.11,100.00,79.61
63,2.323957,2.323957,0.3345,0.8231,0.6300,0.7137,2.220305,2.220305,0.3551,0.6187,0.6927,0.6536,-0.1037,8.1e-04,94.8,41.587488,41.587488,41.210532,41.210532,-0.3770,4.117237e+01,4.117237e+01,,100.00,81.48,100.00,79.45
64,2.297292,2.297292,0.3409,0.8220,0.6396,0.7194,2.213318,2.213318,0.3523,0.5077,0.8073,0.6234,-0.0840,8.0e-04,94.7,41.457865,41.457865,41.381997,41.381997,-0.0759,4.796650e+01,4.796650e+01,,100.00,81.81,100.00,78.63
65,2.304360,2.304360,0.3388,0.8157,0.6321,0.7123,2.226882,2.226882,0.3509,0.5304,0.8073,0.6402,-0.0775,7.9e-04,94.9,41.368575,41.368575,41.092319,41.092319,-0.2763,4.212730e+01,4.212730e+01,,100.00,81.87,100.00,81.73
66,2.318621,2.318621,0.3360,0.8208,0.6287,0.7120,2.185537,2.185537,0.3589,0.6709,0.6463,0.6584,-0.1331,7.9e-04,94.8,41.282464,41.282464,40.055681,40.055681,-1.2268,4.209397e+01,4.209397e+01,,100.00,81.86,100.00,79.93
67,2.299509,2.299509,0.3399,0.8204,0.6371,0.7172,2.243929,2.243929,0.3494,0.6557,0.6829,0.6691,-0.0556,7.8e-04,95.0,41.090708,41.090708,41.160452,41.160452,0.0697,4.620429e+01,4.620429e+01,,100.00,82.04,100.00,77.40
68,2.321820,2.321820,0.3348,0.8199,0.6399,0.7188,2.197687,2.197687,0.3576,0.6134,0.7390,0.6704,-0.1241,7.8e-04,96.2,40.958338,40.958338,40.705742,40.705742,-0.2526,4.072321e+01,4.072321e+01,,100.00,82.26,100.00,76.75
69,2.310313,2.310313,0.3373,0.8272,0.6455,0.7252,2.277601,2.277601,0.3381,0.4963,0.8268,0.6203,-0.0327,7.7e-04,94.9,40.813868,40.813868,39.989098,39.989098,-0.8248,4.516216e+01,4.516216e+01,,100.00,82.54,100.00,80.57
70,2.320832,2.320832,0.3345,0.8232,0.6435,0.7223,2.464328,2.464328,0.3122,0.5704,0.7610,0.6520,0.1435,7.6e-04,94.7,40.714358,40.714358,47.666701,47.666701,6.9523,4.328007e+01,4.328007e+01,,100.00,82.37,100.00,71.45
71,2.324157,2.324157,0.3342,0.8271,0.6489,0.7272,2.383300,2.383300,0.3219,0.5571,0.7732,0.6476,0.0591,7.6e-04,94.8,40.666761,40.666761,43.341519,43.341519,2.6748,4.169852e+01,4.169852e+01,,100.00,82.36,100.00,81.81
72,2.332444,2.332444,0.3320,0.8312,0.6600,0.7358,2.186109,2.186109,0.3563,0.5458,0.8000,0.6489,-0.1463,7.5e-04,94.8,41.007901,41.007901,39.877216,39.877216,-1.1307,4.297897e+01,4.297897e+01,,100.00,82.58,100.00,77.59
73,2.344328,2.344328,0.3297,0.8201,0.6513,0.7260,2.211021,2.211021,0.3538,0.6253,0.7366,0.6764,-0.1333,7.4e-04,94.9,40.775152,40.775152,40.191037,40.191037,-0.5841,4.000310e+01,4.000310e+01,,100.00,82.82,100.00,77.01
74,2.325461,2.325461,0.3328,0.8265,0.6526,0.7293,2.238608,2.238608,0.3457,0.5996,0.7634,0.6717,-0.0869,7.4e-04,94.9,40.428518,40.428518,40.624332,40.624332,0.1958,4.472336e+01,4.472336e+01,,100.00,82.52,100.00,78.84
