epoch,train_recon,train_slow,train_uniform,val_recon,codebook_usage,codebook_ppl,lr,time_s
125,1.666892,0.688387,-3.578636,1.660205,1.0000,0.7193,3.2e-04,93.1
126,1.667011,0.688744,-3.578775,1.665702,1.0000,0.7536,3.1e-04,93.0
127,1.665052,0.689306,-3.578856,1.694450,1.0000,0.7379,3.0e-04,93.2
128,1.661711,0.687417,-3.579569,1.679544,1.0000,0.7876,2.9e-04,92.9
129,1.660005,0.686717,-3.580208,1.688351,1.0000,0.7424,2.9e-04,93.0
130,1.657646,0.686906,-3.580137,1.634115,1.0000,0.7104,2.8e-04,92.8
131,1.656342,0.687468,-3.580874,1.658139,1.0000,0.7075,2.7e-04,92.7
132,1.653184,0.685158,-3.581160,1.698007,1.0000,0.7620,2.7e-04,92.8
133,1.653409,0.685720,-3.580821,1.667280,1.0000,0.7534,2.6e-04,92.8
134,1.651579,0.687947,-3.581919,1.643741,1.0000,0.7725,2.5e-04,92.8
135,1.649569,0.687246,-3.581423,1.684287,1.0000,0.7378,2.5e-04,92.9
136,1.647889,0.687458,-3.582734,1.673411,1.0000,0.6718,2.4e-04,93.0
137,1.646563,0.687243,-3.582681,1.754141,1.0000,0.7356,2.3e-04,93.0
138,1.647089,0.688402,-3.581974,1.650835,1.0000,0.7519,2.3e-04,92.9
139,1.642975,0.686768,-3.582200,1.708888,1.0000,0.7137,2.2e-04,92.8
140,1.641602,0.687496,-3.583027,1.636912,1.0000,0.7076,2.1e-04,92.9
141,1.643742,0.689580,-3.584285,1.672261,1.0000,0.7519,2.1e-04,93.0
142,1.640108,0.688699,-3.583905,1.627817,1.0000,0.7466,2.0e-04,93.0
143,1.640262,0.688635,-3.584726,1.631026,1.0000,0.7545,2.0e-04,92.9
144,1.636627,0.687576,-3.584850,1.622120,1.0000,0.7397,1.9e-04,93.3
145,1.635092,0.687454,-3.583560,1.677849,1.0000,0.6710,1.8e-04,93.1
146,1.634235,0.688444,-3.585589,1.632763,1.0000,0.7572,1.8e-04,93.0
147,1.632883,0.688541,-3.586307,1.740027,1.0000,0.7623,1.7e-04,92.8
148,1.632620,0.688658,-3.586359,1.622244,1.0000,0.7593,1.7e-04,92.9
149,1.630805,0.688615,-3.586026,1.667250,1.0000,0.7702,1.6e-04,92.9
150,1.631139,0.689516,-3.586412,1.638646,1.0000,0.7870,1.5e-04,93.0
151,1.630692,0.689516,-3.586706,1.629844,1.0000,0.7383,1.5e-04,93.0
152,1.628543,0.689213,-3.586674,1.678657,1.0000,0.6875,1.4e-04,93.1
153,1.628264,0.689951,-3.587155,1.623401,1.0000,0.7320,1.4e-04,93.0
154,1.627906,0.690745,-3.589190,1.627470,1.0000,0.7538,1.3e-04,92.9
155,1.626685,0.690647,-3.587687,1.659855,1.0000,0.7772,1.3e-04,92.9
156,1.625626,0.690971,-3.588641,1.635603,1.0000,0.7506,1.2e-04,92.6
157,1.624997,0.691033,-3.589065,1.622201,1.0000,0.7460,1.2e-04,92.9
158,1.623367,0.691066,-3.589277,1.630066,1.0000,0.7457,1.1e-04,93.0
159,1.621936,0.690252,-3.589559,1.658432,1.0000,0.7608,1.1e-04,92.9
160,1.620133,0.689599,-3.590075,1.603897,1.0000,0.7694,1.0e-04,92.8
161,1.620643,0.690939,-3.589849,1.612013,1.0000,0.7480,1.0e-04,92.9
162,1.620413,0.691069,-3.589852,1.628079,1.0000,0.7557,9.6e-05,92.9
163,1.618596,0.690888,-3.589974,1.634951,1.0000,0.7458,9.1e-05,92.9
164,1.618263,0.691029,-3.590593,1.601064,1.0000,0.7619,8.7e-05,92.8
165,1.617971,0.691384,-3.590667,1.622950,1.0000,0.7534,8.3e-05,92.8
166,1.617469,0.691954,-3.590795,1.636697,1.0000,0.7588,7.9e-05,92.8
167,1.616636,0.691404,-3.591627,1.619653,1.0000,0.7480,7.5e-05,93.1
168,1.614805,0.691086,-3.591395,1.646699,1.0000,0.7205,7.1e-05,93.0
169,1.616004,0.691784,-3.591537,1.633555,1.0000,0.7559,6.8e-05,93.3
170,1.614875,0.692573,-3.592200,1.636026,1.0000,0.7348,6.4e-05,93.2
171,1.613949,0.692834,-3.592553,1.609819,1.0000,0.7410,6.0e-05,92.9
172,1.612200,0.691600,-3.591998,1.634035,1.0000,0.7293,5.7e-05,93.4
173,1.611430,0.691431,-3.592024,1.613470,1.0000,0.7597,5.4e-05,93.0
174,1.610628,0.691727,-3.591892,1.627648,1.0000,0.7493,5.1e-05,92.9
175,1.610196,0.691386,-3.592765,1.611374,1.0000,0.7076,4.8e-05,92.9
176,1.609991,0.691794,-3.592273,1.603142,1.0000,0.7412,4.5e-05,93.3
177,1.610311,0.692179,-3.592403,1.626136,1.0000,0.7424,4.2e-05,93.2
178,1.610687,0.692869,-3.592176,1.603167,1.0000,0.7294,3.9e-05,92.9
179,1.609114,0.691874,-3.592042,1.603201,1.0000,0.7361,3.7e-05,93.0
180,1.608896,0.692071,-3.592644,1.605857,1.0000,0.7454,3.4e-05,93.1
181,1.609151,0.692318,-3.592812,1.602800,1.0000,0.7336,3.2e-05,92.9
182,1.607803,0.692603,-3.593271,1.618818,1.0000,0.7502,3.0e-05,93.1
183,1.607492,0.692733,-3.593577,1.632445,1.0000,0.7256,2.8e-05,93.0
184,1.607593,0.693462,-3.593817,1.615999,1.0000,0.6998,2.6e-05,93.0
185,1.607261,0.693737,-3.593850,1.611998,1.0000,0.7344,2.4e-05,93.0
186,1.607191,0.693509,-3.594081,1.613682,1.0000,0.7280,2.2e-05,92.8
187,1.606664,0.693325,-3.593768,1.613923,1.0000,0.7315,2.0e-05,92.7
188,1.605081,0.693065,-3.593797,1.614996,1.0000,0.7305,1.9e-05,92.8
189,1.605618,0.692950,-3.593830,1.601235,1.0000,0.7526,1.7e-05,93.2
190,1.604659,0.692815,-3.594410,1.605327,1.0000,0.7582,1.6e-05,93.0
191,1.604629,0.693033,-3.594583,1.613973,1.0000,0.7464,1.5e-05,93.2
192,1.604695,0.692946,-3.594142,1.622338,1.0000,0.7596,1.4e-05,93.3
193,1.604395,0.693144,-3.594493,1.599130,1.0000,0.7605,1.3e-05,93.3
194,1.603986,0.693061,-3.594304,1.631064,1.0000,0.7439,1.2e-05,93.0
195,1.603744,0.692870,-3.594470,1.609135,1.0000,0.7239,1.2e-05,93.3
196,1.604046,0.693327,-3.594486,1.609988,1.0000,0.7340,1.1e-05,93.1
197,1.603652,0.693033,-3.594915,1.615597,1.0000,0.7421,1.1e-05,93.0
198,1.603760,0.693355,-3.594714,1.617680,1.0000,0.7536,1.0e-05,93.1
199,1.603363,0.693283,-3.594837,1.608468,1.0000,0.7535,1.0e-05,92.9
200,1.603408,0.692781,-3.593880,1.624145,1.0000,0.7517,1.0e-05,92.7
