epoch,train_total,train_loss,train_acc,train_death_acc,train_cpc,val_total,val_loss,val_acc,val_death_acc,val_cpc,gap,lr,time_s
73,2.524761,2.493081,0.3129,0.9546,0.3168,2.573270,2.548021,0.3021,0.9638,0.2525,0.0485,7.6e-04,116.0
74,2.510326,2.478566,0.3160,0.9573,0.3176,2.562583,2.536519,0.3047,0.9731,0.2606,0.0523,7.5e-04,116.3
75,2.527428,2.495883,0.3148,0.9567,0.3154,2.572534,2.547115,0.3023,0.9657,0.2542,0.0451,7.4e-04,116.5
76,2.506950,2.475438,0.3175,0.9559,0.3151,2.559199,2.533882,0.3058,0.9740,0.2532,0.0522,7.4e-04,116.0
77,2.513314,2.481672,0.3165,0.9556,0.3164,2.554040,2.527322,0.3077,0.9700,0.2672,0.0407,7.3e-04,116.4
78,2.493908,2.462451,0.3202,0.9577,0.3146,2.552365,2.526704,0.3083,0.9685,0.2566,0.0585,7.2e-04,116.4
79,2.508715,2.477104,0.3182,0.9590,0.3161,2.564771,2.538538,0.3038,0.9704,0.2623,0.0561,7.2e-04,116.0
80,2.497413,2.465647,0.3205,0.9592,0.3177,2.551412,2.525071,0.3080,0.9718,0.2634,0.0540,7.1e-04,116.4
81,2.490796,2.459078,0.3206,0.9574,0.3172,2.554086,2.527143,0.3069,0.9737,0.2694,0.0633,7.0e-04,116.4
82,2.486390,2.454777,0.3222,0.9578,0.3161,2.543117,2.516100,0.3107,0.9720,0.2702,0.0567,7.0e-04,115.9
83,2.481533,2.449968,0.3237,0.9586,0.3157,2.546644,2.520203,0.3082,0.9508,0.2644,0.0651,6.9e-04,116.4
84,2.484276,2.452664,0.3237,0.9578,0.3161,2.547883,2.521832,0.3077,0.9764,0.2605,0.0636,6.8e-04,115.9
85,2.481296,2.449942,0.3239,0.9574,0.3135,2.533715,2.507747,0.3107,0.9715,0.2597,0.0524,6.8e-04,116.4
86,2.482864,2.451300,0.3247,0.9589,0.3156,2.549866,2.522461,0.3082,0.9739,0.2741,0.0670,6.7e-04,116.3
87,2.474233,2.442882,0.3265,0.9588,0.3135,2.541986,2.515303,0.3096,0.9681,0.2668,0.0678,6.6e-04,116.0
88,2.483274,2.451650,0.3249,0.9591,0.3162,2.530664,2.504030,0.3110,0.9716,0.2663,0.0474,6.5e-04,116.3
89,2.471035,2.439739,0.3264,0.9591,0.3130,2.530180,2.504199,0.3114,0.9727,0.2598,0.0591,6.5e-04,116.3
90,2.476323,2.444988,0.3261,0.9596,0.3134,2.525997,2.499782,0.3120,0.9754,0.2622,0.0497,6.4e-04,115.8
91,2.467754,2.436507,0.3282,0.9605,0.3125,2.525142,2.498884,0.3129,0.9730,0.2626,0.0574,6.3e-04,116.4
92,2.460215,2.428741,0.3293,0.9613,0.3147,2.531166,2.504626,0.3111,0.9764,0.2654,0.0710,6.3e-04,116.3
93,2.456970,2.425606,0.3285,0.9596,0.3136,2.516747,2.490598,0.3143,0.9754,0.2615,0.0598,6.2e-04,116.0
94,2.464908,2.433394,0.3290,0.9599,0.3151,2.517403,2.489785,0.3159,0.9650,0.2762,0.0525,6.1e-04,116.3
95,2.459831,2.428291,0.3292,0.9616,0.3154,2.518346,2.492312,0.3141,0.9771,0.2603,0.0585,6.0e-04,116.4
96,2.446999,2.415489,0.3307,0.9602,0.3151,2.514381,2.488621,0.3150,0.9762,0.2576,0.0674,6.0e-04,115.9
97,2.455313,2.423944,0.3306,0.9618,0.3137,2.515059,2.490133,0.3152,0.9723,0.2493,0.0597,5.9e-04,116.4
98,2.457419,2.426261,0.3304,0.9620,0.3116,2.515797,2.489438,0.3147,0.9749,0.2636,0.0584,5.8e-04,116.3
99,2.443351,2.412432,0.3315,0.9605,0.3092,2.503743,2.478949,0.3179,0.9659,0.2479,0.0604,5.8e-04,116.0
100,2.448706,2.417863,0.3311,0.9613,0.3084,2.520317,2.494567,0.3139,0.9742,0.2575,0.0716,5.7e-04,116.3
101,2.455087,2.424165,0.3315,0.9613,0.3092,2.497012,2.471457,0.3188,0.9707,0.2555,0.0419,5.6e-04,116.7
102,2.446196,2.415460,0.3330,0.9631,0.3074,2.506545,2.482007,0.3155,0.9698,0.2454,0.0603,5.5e-04,115.9
103,2.436289,2.406235,0.3341,0.9629,0.3005,2.516638,2.491203,0.3132,0.9678,0.2544,0.0803,5.5e-04,116.4
104,2.436374,2.406450,0.3346,0.9629,0.2992,2.492399,2.467402,0.3195,0.9762,0.2500,0.0560,5.4e-04,116.3
105,2.423354,2.393231,0.3371,0.9627,0.3012,2.499747,2.474591,0.3179,0.9746,0.2516,0.0764,5.3e-04,115.9
106,2.435844,2.405697,0.3351,0.9637,0.3015,2.499560,2.475173,0.3165,0.9745,0.2439,0.0637,5.2e-04,116.3
