epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
187,2.486848,0.456486,-3.749287,2.582853,2.0e-05,13.8
188,2.486513,0.456305,-3.749481,2.580279,1.9e-05,14.5
189,2.486675,0.456891,-3.749669,2.580084,1.7e-05,13.8
190,2.484588,0.455852,-3.749170,2.581156,1.6e-05,14.5
191,2.485085,0.455840,-3.748907,2.579811,1.5e-05,13.8
192,2.482485,0.455625,-3.748810,2.576953,1.4e-05,13.8
193,2.482274,0.455294,-3.748665,2.577539,1.3e-05,14.5
194,2.480106,0.455946,-3.748319,2.575964,1.2e-05,13.8
195,2.478910,0.455614,-3.749925,2.574394,1.2e-05,14.5
196,2.481442,0.455785,-3.748695,2.576967,1.1e-05,13.8
197,2.482258,0.455597,-3.748981,2.573632,1.1e-05,13.8
198,2.479017,0.456130,-3.749041,2.574176,1.0e-05,14.5
199,2.478203,0.456203,-3.748812,2.573443,1.0e-05,13.8
200,2.478808,0.455608,-3.749540,2.573023,1.0e-05,14.5
