iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
125,25.69,19.5342,160.1363,41.4773,0.4121,1.0e-04,,,6.2
126,24.70,18.7510,163.9829,41.9077,0.4048,1.0e-04,,,6.2
127,24.91,18.8940,146.5085,39.9929,0.4032,1.0e-04,,,6.0
128,25.78,19.8452,161.9297,41.7159,0.4065,1.0e-04,,,6.0
129,25.77,19.6558,152.5492,41.1080,0.4089,1.0e-04,,,6.1
130,26.89,20.6909,145.6573,40.3932,0.4070,1.0e-04,25.63,0.34,6.1
131,25.63,19.6543,162.5454,43.2443,0.3984,1.0e-04,,,6.0
132,25.01,18.9907,158.4664,42.1790,0.4057,1.0e-04,,,3.5
133,24.98,19.0488,166.3591,42.2869,0.4129,1.0e-04,,,6.3
134,25.33,19.3286,154.1829,42.9318,0.4099,1.0e-04,,,6.2
135,25.98,19.8931,158.3196,40.0679,0.4191,1.0e-04,,,5.2
136,25.20,19.2441,152.8389,40.8324,0.4119,1.0e-04,,,3.5
137,23.78,17.9507,163.0716,39.8594,0.4163,1.0e-04,,,6.1
138,25.28,19.2158,158.8179,39.3438,0.4220,1.0e-04,,,6.1
139,24.11,18.1279,141.3348,38.7500,0.4279,1.0e-04,,,6.1
140,24.85,18.8506,155.7125,42.8006,0.4086,1.0e-04,25.56,0.36,3.5
141,25.03,19.0698,157.1174,41.6080,0.4154,1.0e-04,,,5.1
142,25.55,19.5654,180.7995,43.3920,0.4066,1.0e-04,,,5.2
143,25.49,19.5244,171.0855,41.3977,0.4162,1.0e-04,,,5.2
144,25.06,18.9658,161.5932,41.7131,0.4171,1.0e-04,,,6.1
145,25.22,19.2349,161.4163,41.2528,0.4199,1.0e-04,,,6.1
146,25.33,19.1450,171.8019,41.1875,0.4251,1.0e-04,,,6.1
147,27.29,20.7876,163.1315,45.4062,0.4159,1.0e-04,,,6.1
148,25.83,19.5864,167.6314,42.1420,0.4270,1.0e-04,,,6.1
149,26.08,19.7979,184.3074,44.7826,0.4192,1.0e-04,,,6.1
150,25.78,19.5068,179.1573,43.9716,0.4154,1.0e-04,25.71,0.37,6.1
151,25.62,19.5361,178.0001,45.5625,0.4028,1.0e-04,,,6.0
152,25.43,19.2651,176.2647,42.6307,0.4231,1.0e-04,,,5.1
153,26.47,20.3438,178.5287,45.2636,0.4146,1.0e-04,,,5.2
154,24.98,18.8511,182.6130,45.4886,0.4233,1.0e-04,,,5.2
155,25.51,19.3608,177.3799,44.0028,0.4192,1.0e-04,,,3.5
156,24.76,18.7529,188.9217,43.9583,0.4261,1.0e-04,,,6.0
157,24.78,18.5981,165.1322,42.8899,0.4173,1.0e-04,,,6.1
158,25.68,19.4575,179.4395,46.2955,0.4193,1.0e-04,,,6.1
159,25.55,19.2998,191.7814,45.7131,0.4267,1.0e-04,,,5.2
160,25.61,19.4023,205.3898,45.4062,0.4171,1.0e-04,25.99,0.40,6.1
161,24.84,18.6870,180.3321,43.3750,0.4294,1.0e-04,,,6.1
162,25.50,19.3052,181.3173,41.7301,0.4353,1.0e-04,,,3.5
163,25.59,19.2158,175.4942,43.2642,0.4335,1.0e-04,,,6.1
164,25.15,18.9692,189.2109,47.5057,0.4074,1.0e-04,,,6.1
165,25.81,19.4985,193.4395,44.7528,0.4226,1.0e-04,,,6.1
166,25.61,19.3125,175.4986,43.3239,0.4280,1.0e-04,,,6.1
167,25.75,19.4424,182.5719,43.0710,0.4361,1.0e-04,,,3.5
168,26.36,20.0542,189.2724,47.1087,0.4179,1.0e-04,,,3.5
169,25.69,19.3989,211.2578,46.1449,0.4293,1.0e-04,,,6.1
170,24.00,17.7930,179.2504,44.8304,0.4298,1.0e-04,25.69,0.41,5.2
171,23.95,17.8521,201.6465,45.6815,0.4248,1.0e-04,,,5.2
172,26.29,20.0347,188.0441,44.9457,0.4241,1.0e-04,,,6.1
173,26.36,20.2524,181.8232,45.5625,0.4156,1.0e-04,,,3.5
174,23.82,18.0005,199.3403,42.8563,0.4177,1.0e-04,,,6.0
175,26.21,20.1499,185.5708,43.8886,0.4186,1.0e-04,,,3.5
176,26.28,20.1025,190.3297,43.0109,0.4208,1.0e-04,,,6.2
177,25.41,19.3340,182.9924,47.7955,0.4137,1.0e-04,,,3.5
178,25.62,19.5054,188.5329,45.9091,0.4250,1.0e-04,,,6.1
179,25.32,19.2378,214.5573,47.5795,0.4147,1.0e-04,,,6.1
180,24.76,18.7437,194.5747,45.0357,0.4219,1.0e-04,25.55,0.36,6.1
181,25.62,19.5605,192.1906,46.3920,0.4210,1.0e-04,,,6.1
182,24.88,18.7676,180.1264,43.9048,0.4290,1.0e-04,,,6.1
183,25.04,18.8721,186.3088,44.0852,0.4365,1.0e-04,,,5.2
184,24.59,18.2095,174.8363,44.5863,0.4384,1.0e-04,,,6.1
185,25.11,18.6460,189.2087,44.9460,0.4367,1.0e-04,,,6.1
186,25.20,18.8955,186.6349,44.6165,0.4325,1.0e-04,,,6.1
187,25.29,19.0186,174.3714,45.3892,0.4325,1.0e-04,,,6.1
188,25.99,19.6367,197.1085,47.4429,0.4271,1.0e-04,,,3.5
189,25.60,19.4033,193.6760,46.3210,0.4321,1.0e-04,,,6.1
190,25.53,19.3208,196.6495,46.5909,0.4292,1.0e-04,25.80,0.41,5.2
191,24.97,18.7715,192.5215,46.9602,0.4302,1.0e-04,,,5.2
192,26.05,19.7085,222.9139,50.2147,0.4243,1.0e-04,,,5.2
193,25.10,18.7671,224.7054,46.9034,0.4342,1.0e-04,,,6.1
194,25.32,19.0225,203.5927,49.0682,0.4365,1.0e-04,,,6.1
195,25.56,19.0322,211.0571,46.9062,0.4369,1.0e-04,,,5.2
196,24.39,18.0024,191.2467,44.1964,0.4475,1.0e-04,,,5.2
197,26.77,20.1660,185.7715,45.3859,0.4378,1.0e-04,,,6.1
198,25.63,19.4087,167.4760,46.8920,0.4312,1.0e-04,,,6.1
199,24.91,18.6367,210.1405,49.3210,0.4318,1.0e-04,,,5.2
200,26.19,19.7754,202.2101,44.1304,0.4407,1.0e-04,25.80,0.40,6.0
201,24.92,18.6963,182.9568,43.6818,0.4401,1.0e-04,,,6.1
202,25.00,18.8179,182.2286,42.9318,0.4393,1.0e-04,,,6.1
203,26.16,20.0195,187.8564,44.5625,0.4334,1.0e-04,,,6.0
204,26.07,19.6196,172.5208,42.7038,0.4477,1.0e-04,,,5.2
205,25.53,19.2720,174.2268,46.8551,0.4349,1.0e-04,,,5.4
206,25.83,19.4985,192.7024,44.9943,0.4371,1.0e-04,,,3.5
207,24.31,18.1450,187.8839,47.1964,0.4373,1.0e-04,,,6.3
208,25.35,18.9678,163.3338,42.7017,0.4490,1.0e-04,,,3.5
209,24.06,17.8682,189.3796,43.5446,0.4391,1.0e-04,,,6.0
210,26.19,19.9458,168.9255,43.4348,0.4444,1.0e-04,25.75,0.41,6.2
211,25.67,19.4033,175.6566,45.0483,0.4379,1.0e-04,,,3.5
212,25.01,18.6455,178.6120,43.5938,0.4440,1.0e-04,,,3.5
213,27.26,20.5264,185.5867,45.9635,0.4461,1.0e-04,,,6.1
214,25.60,19.1548,168.4759,44.1818,0.4400,1.0e-04,,,6.1
215,26.30,19.8521,158.8882,43.2880,0.4516,1.0e-04,,,6.2
216,26.63,20.0938,173.0150,46.8152,0.4430,1.0e-04,,,6.2
217,25.83,19.5210,177.6807,44.0256,0.4414,1.0e-04,,,3.5
218,25.12,19.0298,182.1137,46.1932,0.4455,1.0e-04,,,6.2
219,25.96,19.6313,163.4976,44.2446,0.4447,1.0e-04,,,6.4
220,25.54,19.1333,176.8824,43.8097,0.4421,1.0e-04,26.20,0.39,3.5
221,25.94,19.6616,194.5924,46.2473,0.4440,1.0e-04,,,3.5
222,25.13,18.8911,194.1918,45.3977,0.4465,1.0e-04,,,6.1
223,24.88,18.7070,179.3453,45.5795,0.4465,1.0e-04,,,6.1
224,25.99,19.6362,180.5177,45.3071,0.4519,1.0e-04,,,3.5
225,26.19,19.7866,178.3625,46.5380,0.4422,1.0e-04,,,3.5
226,25.46,19.0586,186.9659,50.5085,0.4458,1.0e-04,,,5.3
227,26.08,19.6504,176.7868,47.0543,0.4446,1.0e-04,,,3.5
228,24.73,18.6025,207.1599,47.5893,0.4452,1.0e-04,,,3.5
229,25.29,18.9873,188.1317,48.8011,0.4438,1.0e-04,,,3.5
230,26.74,20.0493,190.5867,48.7255,0.4447,1.0e-04,26.18,0.44,6.1
231,24.43,18.1484,209.7834,47.5714,0.4519,1.0e-04,,,5.2
232,26.35,19.9414,199.2217,50.0000,0.4467,1.0e-04,,,3.5
233,26.64,19.8711,201.3820,48.4103,0.4511,1.0e-04,,,6.2
234,26.80,20.1470,203.5977,50.1875,0.4494,1.0e-04,,,6.1
235,25.10,18.8218,199.7171,46.5511,0.4506,1.0e-04,,,6.0
236,25.13,18.8623,175.8729,47.2074,0.4462,1.0e-04,,,6.2
237,25.44,19.0981,188.3993,46.8438,0.4419,1.0e-04,,,3.5
238,25.27,19.1685,174.0906,46.1250,0.4402,1.0e-04,,,6.2
239,25.67,19.4277,206.0032,48.8665,0.4358,1.0e-04,,,6.2
240,26.19,19.9937,188.7851,50.0353,0.4386,1.0e-04,25.84,0.42,3.5
241,25.56,19.3418,202.9588,50.1165,0.4381,1.0e-04,,,6.1
242,24.41,18.2554,189.2251,45.5536,0.4507,1.0e-04,,,5.2
243,24.89,18.6167,202.4188,47.6648,0.4491,1.0e-04,,,3.5
244,25.96,19.4536,215.5460,50.3777,0.4499,1.0e-04,,,5.3
245,25.93,19.5425,246.7817,51.8261,0.4449,1.0e-04,,,6.1
246,25.76,19.3159,219.6185,48.0227,0.4537,1.0e-04,,,3.5
247,26.07,19.4883,200.8097,50.5978,0.4542,1.0e-04,,,6.1
248,26.59,20.1431,196.5541,49.3750,0.4542,1.0e-04,,,3.5
249,25.44,19.0698,212.8909,48.3778,0.4552,1.0e-04,,,5.2
250,25.47,18.9868,213.3051,49.0540,0.4572,1.0e-04,25.88,0.45,5.2
251,25.69,19.0942,203.3531,48.4830,0.4538,1.0e-04,,,6.1
252,25.52,18.9443,182.3128,44.1619,0.4565,1.0e-04,,,3.5
253,26.20,19.3726,170.0033,45.6332,0.4620,1.0e-04,,,6.2
254,25.74,19.2847,182.9372,43.6818,0.4582,1.0e-04,,,3.5
255,25.79,19.3257,191.3824,45.9148,0.4574,1.0e-04,,,6.1
256,25.44,19.1582,168.0454,45.2585,0.4596,1.0e-04,,,5.1
257,25.69,19.3159,192.3105,46.2756,0.4540,1.0e-04,,,3.5
258,25.84,19.3481,202.2875,45.5256,0.4616,1.0e-04,,,3.5
259,26.44,20.0322,186.2764,43.5272,0.4616,1.0e-04,,,3.5
260,26.41,20.0693,165.5195,44.5571,0.4585,1.0e-04,25.94,0.43,5.2
261,25.73,19.4097,163.9622,45.3693,0.4540,1.0e-04,,,6.1
262,24.50,18.2251,174.0553,42.2589,0.4581,1.0e-04,,,3.5
263,25.64,19.1196,174.2686,42.3466,0.4599,1.0e-04,,,3.5
264,25.71,19.1899,156.4057,41.6023,0.4638,1.0e-04,,,6.2
265,25.85,19.4180,178.8002,46.3523,0.4482,1.0e-04,,,3.5
