epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
79,2.500721,2.500721,0.2975,0.9187,0.8733,0.8954,2.647154,2.647154,0.2853,0.5787,0.9000,0.7045,0.1464,1.4e-03,75.2
80,2.499526,2.499526,0.2977,0.9154,0.8733,0.8939,2.649941,2.649941,0.2851,0.5969,0.9059,0.7196,0.1504,1.4e-03,75.5
81,2.494603,2.494603,0.2984,0.9171,0.8755,0.8958,2.642068,2.642068,0.2870,0.6480,0.8800,0.7464,0.1475,1.4e-03,75.3
82,2.492593,2.492593,0.2988,0.9168,0.8737,0.8948,2.647311,2.647311,0.2866,0.6087,0.8839,0.7209,0.1547,1.3e-03,75.5
83,2.487137,2.487137,0.2999,0.9168,0.8760,0.8960,2.642808,2.642808,0.2865,0.5583,0.9059,0.6908,0.1557,1.3e-03,75.3
84,2.484253,2.484253,0.3004,0.9181,0.8728,0.8949,2.631587,2.631587,0.2883,0.6670,0.8629,0.7524,0.1473,1.3e-03,75.3
85,2.482005,2.482005,0.3009,0.9179,0.8771,0.8971,2.642788,2.642788,0.2881,0.5091,0.9302,0.6580,0.1608,1.3e-03,75.3
86,2.478445,2.478445,0.3011,0.9175,0.8719,0.8941,2.635879,2.635879,0.2879,0.7365,0.8180,0.7751,0.1574,1.3e-03,75.3
87,2.473845,2.473845,0.3021,0.9209,0.8739,0.8968,2.636242,2.636242,0.2885,0.6569,0.8741,0.7501,0.1624,1.3e-03,75.4
88,2.471770,2.471770,0.3026,0.9215,0.8780,0.8992,2.641054,2.641054,0.2881,0.7004,0.8507,0.7683,0.1693,1.3e-03,75.2
89,2.468237,2.468237,0.3032,0.9186,0.8764,0.8970,2.642695,2.642695,0.2881,0.6416,0.8751,0.7404,0.1745,1.2e-03,75.4
90,2.466616,2.466616,0.3036,0.9224,0.8778,0.8995,2.639557,2.639557,0.2884,0.6883,0.8576,0.7637,0.1729,1.2e-03,75.2
91,2.463533,2.463533,0.3041,0.9189,0.8751,0.8964,2.640469,2.640469,0.2888,0.6087,0.9015,0.7267,0.1769,1.2e-03,75.2
92,2.459716,2.459716,0.3047,0.9187,0.8751,0.8964,2.646423,2.646423,0.2873,0.6578,0.8888,0.7560,0.1867,1.2e-03,75.2
93,2.458255,2.458255,0.3052,0.9187,0.8770,0.8974,2.642558,2.642558,0.2888,0.6023,0.9005,0.7218,0.1843,1.2e-03,75.2
94,2.453587,2.453587,0.3057,0.9179,0.8747,0.8958,2.647227,2.647227,0.2883,0.7134,0.8561,0.7783,0.1936,1.2e-03,75.4
95,2.452376,2.452376,0.3062,0.9211,0.8799,0.9000,2.653548,2.653548,0.2884,0.6400,0.8863,0.7433,0.2012,1.1e-03,75.2
96,2.450095,2.450095,0.3066,0.9215,0.8800,0.9002,2.646062,2.646062,0.2886,0.6535,0.8795,0.7498,0.1960,1.1e-03,75.4
97,2.447838,2.447838,0.3067,0.9216,0.8767,0.8986,2.639779,2.639779,0.2897,0.5984,0.9015,0.7193,0.1919,1.1e-03,75.2
98,2.442744,2.442744,0.3078,0.9225,0.8828,0.9022,2.619339,2.619339,0.2926,0.6587,0.8868,0.7559,0.1766,1.1e-03,75.2
99,2.438716,2.438716,0.3086,0.9207,0.8781,0.8989,2.639187,2.639187,0.2893,0.6819,0.8649,0.7626,0.2005,1.1e-03,75.2
100,2.437200,2.437200,0.3090,0.9211,0.8790,0.8996,2.648300,2.648300,0.2894,0.7269,0.8400,0.7794,0.2111,1.1e-03,75.2
101,2.434611,2.434611,0.3094,0.9223,0.8803,0.9008,2.646667,2.646667,0.2890,0.6529,0.8761,0.7482,0.2121,1.0e-03,75.5
102,2.432836,2.432836,0.3097,0.9217,0.8799,0.9003,2.641439,2.641439,0.2905,0.6697,0.8673,0.7558,0.2086,1.0e-03,75.2
103,2.430212,2.430212,0.3103,0.9226,0.8832,0.9025,2.639239,2.639239,0.2909,0.6388,0.8844,0.7418,0.2090,1.0e-03,75.4
104,2.428267,2.428267,0.3104,0.9235,0.8851,0.9039,2.639975,2.639975,0.2909,0.6889,0.8727,0.7700,0.2117,1.0e-03,75.6
105,2.423279,2.423279,0.3113,0.9236,0.8856,0.9042,2.638991,2.638991,0.2908,0.5970,0.8961,0.7166,0.2157,9.9e-04,75.7
106,2.420761,2.420761,0.3120,0.9235,0.8823,0.9024,2.643083,2.643083,0.2911,0.6973,0.8741,0.7758,0.2223,9.7e-04,75.3
107,2.417626,2.417626,0.3126,0.9252,0.8894,0.9069,2.642448,2.642448,0.2908,0.6573,0.8746,0.7505,0.2248,9.5e-04,75.3
108,2.415536,2.415536,0.3129,0.9248,0.8864,0.9052,2.638451,2.638451,0.2924,0.6466,0.8810,0.7458,0.2229,9.4e-04,75.5
109,2.413924,2.413924,0.3131,0.9232,0.8849,0.9037,2.646311,2.646311,0.2910,0.6850,0.8824,0.7713,0.2324,9.2e-04,75.3
110,2.411269,2.411269,0.3136,0.9274,0.8862,0.9063,2.638223,2.638223,0.2921,0.6378,0.8849,0.7413,0.2270,9.1e-04,75.4
111,2.408359,2.408359,0.3141,0.9267,0.8870,0.9064,2.635219,2.635219,0.2926,0.7073,0.8629,0.7774,0.2269,8.9e-04,75.3
112,2.406039,2.406039,0.3146,0.9255,0.8887,0.9067,2.646675,2.646675,0.2910,0.6541,0.8966,0.7564,0.2406,8.8e-04,75.6
113,2.404289,2.404289,0.3150,0.9261,0.8865,0.9058,2.638185,2.638185,0.2928,0.7084,0.8722,0.7818,0.2339,8.6e-04,75.9
114,2.400412,2.400412,0.3157,0.9283,0.8860,0.9066,2.641361,2.641361,0.2924,0.5795,0.9171,0.7102,0.2409,8.5e-04,76.0
115,2.397172,2.397172,0.3163,0.9266,0.8892,0.9075,2.628114,2.628114,0.2934,0.6864,0.8829,0.7723,0.2309,8.3e-04,76.4
116,2.395905,2.395905,0.3165,0.9279,0.8900,0.9085,2.640256,2.640256,0.2925,0.6394,0.9005,0.7478,0.2444,8.1e-04,75.9
117,2.392404,2.392404,0.3173,0.9293,0.8910,0.9097,2.630228,2.630228,0.2935,0.6464,0.9015,0.7529,0.2378,8.0e-04,76.2
118,2.389313,2.389313,0.3178,0.9315,0.8925,0.9116,2.642678,2.642678,0.2933,0.6423,0.9049,0.7513,0.2534,7.8e-04,76.0
119,2.390248,2.390248,0.3177,0.9252,0.8894,0.9070,2.630328,2.630328,0.2932,0.7405,0.8546,0.7935,0.2401,7.7e-04,76.0
120,2.385648,2.385648,0.3185,0.9286,0.8897,0.9087,2.635289,2.635289,0.2942,0.6897,0.8751,0.7714,0.2496,7.5e-04,76.0
121,2.382963,2.382963,0.3191,0.9295,0.8941,0.9115,2.642220,2.642220,0.2936,0.6569,0.8946,0.7575,0.2593,7.4e-04,76.0
122,2.381923,2.381923,0.3192,0.9278,0.8920,0.9096,2.640728,2.640728,0.2932,0.6745,0.8907,0.7677,0.2588,7.2e-04,76.2
123,2.378449,2.378449,0.3200,0.9266,0.8892,0.9075,2.641110,2.641110,0.2932,0.5966,0.9205,0.7240,0.2627,7.1e-04,75.9
124,2.376980,2.376980,0.3200,0.9306,0.8929,0.9114,2.637764,2.637764,0.2937,0.7041,0.8683,0.7776,0.2608,6.9e-04,76.2
125,2.373662,2.373662,0.3209,0.9266,0.8896,0.9077,2.624671,2.624671,0.2952,0.7029,0.8863,0.7840,0.2510,6.8e-04,75.9
126,2.371038,2.371038,0.3215,0.9304,0.8961,0.9129,2.637891,2.637891,0.2951,0.6274,0.9020,0.7400,0.2669,6.6e-04,75.9
127,2.367767,2.367767,0.3218,0.9324,0.8981,0.9149,2.635691,2.635691,0.2945,0.6486,0.9059,0.7560,0.2679,6.5e-04,76.0
128,2.367705,2.367705,0.3219,0.9288,0.8907,0.9094,2.635676,2.635676,0.2949,0.6702,0.8932,0.7658,0.2680,6.4e-04,76.0
129,2.365252,2.365252,0.3224,0.9313,0.8978,0.9142,2.634649,2.634649,0.2953,0.6501,0.9020,0.7556,0.2694,6.2e-04,76.2
130,2.361613,2.361613,0.3231,0.9304,0.8930,0.9113,2.632500,2.632500,0.2953,0.6345,0.9102,0.7477,0.2709,6.1e-04,76.0
131,2.358803,2.358803,0.3238,0.9298,0.8937,0.9114,2.636139,2.636139,0.2952,0.6544,0.8951,0.7561,0.2773,5.9e-04,76.2
132,2.356445,2.356445,0.3242,0.9332,0.8980,0.9153,2.625751,2.625751,0.2964,0.6607,0.9005,0.7622,0.2693,5.8e-04,75.9
133,2.354803,2.354803,0.3244,0.9340,0.8964,0.9148,2.635677,2.635677,0.2962,0.6568,0.8980,0.7587,0.2809,5.6e-04,75.9
134,2.352310,2.352310,0.3251,0.9317,0.8944,0.9127,2.630598,2.630598,0.2962,0.6496,0.8951,0.7528,0.2783,5.5e-04,75.9
135,2.351000,2.351000,0.3254,0.9348,0.9010,0.9176,2.619694,2.619694,0.2974,0.6945,0.8873,0.7792,0.2687,5.4e-04,75.8
136,2.349355,2.349355,0.3257,0.9313,0.8984,0.9146,2.631515,2.631515,0.2960,0.7054,0.8771,0.7819,0.2822,5.2e-04,76.0
137,2.345675,2.345675,0.3263,0.9365,0.9008,0.9183,2.629137,2.629137,0.2976,0.6264,0.9161,0.7441,0.2835,5.1e-04,75.8
138,2.343803,2.343803,0.3268,0.9344,0.9006,0.9172,2.637005,2.637005,0.2964,0.6261,0.9166,0.7440,0.2932,5.0e-04,76.1
139,2.342291,2.342291,0.3270,0.9339,0.9045,0.9190,2.624966,2.624966,0.2974,0.7337,0.8654,0.7941,0.2827,4.8e-04,75.9
140,2.339614,2.339614,0.3275,0.9338,0.9013,0.9173,2.621750,2.621750,0.2981,0.6983,0.8941,0.7842,0.2821,4.7e-04,75.9
141,2.337251,2.337251,0.3280,0.9329,0.8997,0.9160,2.626585,2.626585,0.2979,0.6891,0.8854,0.7750,0.2893,4.6e-04,75.8
142,2.336597,2.336597,0.3282,0.9336,0.9013,0.9172,2.622829,2.622829,0.2981,0.6774,0.8912,0.7697,0.2862,4.5e-04,75.8
143,2.336214,2.336214,0.3282,0.9341,0.9005,0.9170,2.626778,2.626778,0.2979,0.6794,0.8902,0.7707,0.2906,4.3e-04,76.1
144,2.332754,2.332754,0.3289,0.9356,0.9029,0.9190,2.627543,2.627543,0.2979,0.7133,0.8785,0.7873,0.2948,4.2e-04,75.9
145,2.329207,2.329207,0.3295,0.9344,0.9030,0.9184,2.632766,2.632766,0.2979,0.6962,0.8844,0.7791,0.3036,4.1e-04,76.2
146,2.326863,2.326863,0.3298,0.9344,0.8995,0.9166,2.618960,2.618960,0.2990,0.7102,0.8917,0.7907,0.2921,4.0e-04,76.0
147,2.326517,2.326517,0.3303,0.9371,0.9006,0.9185,2.620428,2.620428,0.2989,0.6527,0.9020,0.7573,0.2939,3.8e-04,76.0
