iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
170,24.63,19.2242,24.8233,22.3343,0.1870,1.0e-04,23.45,0.37,10.2
171,24.88,19.4898,24.6320,22.4691,0.1884,1.0e-04,,,10.2
172,24.65,19.1762,24.7123,22.2895,0.1807,1.0e-04,,,10.2
173,26.56,20.9984,23.7804,22.0060,0.1832,1.0e-04,,,10.2
174,24.61,19.1578,23.1056,22.1372,0.1768,1.0e-04,,,10.2
175,23.75,18.4051,24.0940,22.5705,0.1803,1.0e-04,,,10.1
176,23.85,18.4629,23.5095,22.3352,0.1740,1.0e-04,,,10.1
177,24.14,18.7238,22.6887,22.0296,0.1740,1.0e-04,,,10.2
178,24.33,18.9309,24.5169,22.8742,0.1767,1.0e-04,,,10.2
179,24.30,18.9188,23.1336,22.1947,0.1814,1.0e-04,,,10.2
180,23.40,18.0590,22.9004,22.4184,0.1801,1.0e-04,23.69,0.36,10.1
181,25.08,19.6402,24.1686,22.2118,0.1802,1.0e-04,,,10.2
182,25.03,19.5617,22.7409,22.0446,0.1826,1.0e-04,,,10.2
183,23.29,17.9383,23.2639,22.5387,0.1798,1.0e-04,,,10.1
184,24.43,19.0145,24.1029,22.3083,0.1841,1.0e-04,,,10.2
185,24.37,18.9770,24.0733,22.0536,0.1856,1.0e-04,,,10.2
186,24.52,19.0375,23.4792,22.2287,0.1748,1.0e-04,,,10.2
187,22.81,17.5168,22.2599,22.3125,0.1836,1.0e-04,,,10.1
188,24.41,19.0777,22.3767,22.0331,0.1866,1.0e-04,,,10.2
189,24.06,18.7199,23.1035,22.2363,0.1881,1.0e-04,,,10.2
190,22.97,17.6855,23.0150,22.4097,0.1806,1.0e-04,23.23,0.36,10.1
191,23.19,17.9031,22.5882,22.5057,0.1909,1.0e-04,,,10.1
192,24.10,18.7191,22.0321,22.0196,0.1858,1.0e-04,,,10.2
193,24.39,19.0328,23.6077,22.1762,0.1904,1.0e-04,,,10.2
194,23.78,18.4566,23.2289,22.3419,0.1890,1.0e-04,,,10.1
195,23.25,18.0023,23.1213,22.3510,0.2006,1.0e-04,,,10.1
196,24.54,19.2082,23.6656,22.3395,0.2004,1.0e-04,,,10.2
197,23.04,17.7512,22.9547,22.2949,0.1967,1.0e-04,,,10.1
198,24.59,19.2027,23.4571,21.9562,0.1921,1.0e-04,,,10.2
199,23.61,18.3043,22.4822,21.7745,0.1876,1.0e-04,,,10.1
200,25.01,19.5910,22.8636,21.8778,0.1933,1.0e-04,22.73,0.35,10.2
201,24.29,18.9301,23.1824,22.0897,0.1952,1.0e-04,,,10.2
202,23.34,18.0492,22.2526,21.8801,0.1913,1.0e-04,,,10.1
203,24.51,19.0930,23.7979,22.2429,0.1952,1.0e-04,,,10.2
204,24.35,18.9191,22.7278,22.0680,0.1916,1.0e-04,,,10.2
205,24.26,18.7836,22.6732,22.1307,0.1875,1.0e-04,,,10.2
206,24.13,18.6426,23.9402,22.4581,0.1899,1.0e-04,,,10.2
207,24.14,18.6750,22.8024,22.0210,0.1904,1.0e-04,,,10.2
