epoch,train_loss,train_recon,train_vq,val_loss,val_recon,val_vq,lr,time_s
158,3.226361,2.825525,0.400836,3.218918,2.846097,0.372821,2.2e-04,14.6
159,3.220963,2.820860,0.400103,3.177218,2.811548,0.365670,2.1e-04,14.3
160,3.208237,2.811153,0.397084,3.184668,2.806583,0.378084,2.0e-04,14.7
161,3.210128,2.810261,0.399867,3.169309,2.791517,0.377791,1.9e-04,14.0
162,3.212970,2.810646,0.402324,3.195258,2.809251,0.386007,1.8e-04,14.5
163,3.204438,2.803338,0.401100,3.164563,2.785552,0.379010,1.7e-04,14.5
164,3.201867,2.802056,0.399811,3.190651,2.811692,0.378959,1.6e-04,13.6
165,3.194246,2.796380,0.397866,3.185186,2.803386,0.381801,1.6e-04,14.2
166,3.191610,2.792897,0.398713,3.187327,2.798550,0.388777,1.5e-04,14.2
167,3.189492,2.791340,0.398151,3.211630,2.816370,0.395260,1.4e-04,14.2
168,3.192013,2.792614,0.399399,3.162643,2.782493,0.380151,1.3e-04,14.8
169,3.186630,2.787109,0.399521,3.146938,2.767626,0.379312,1.3e-04,14.3
170,3.191372,2.790642,0.400729,3.201276,2.810179,0.391098,1.2e-04,13.8
171,3.180138,2.781336,0.398802,3.161196,2.774352,0.386844,1.1e-04,14.8
172,3.177209,2.777759,0.399450,3.160649,2.776598,0.384051,1.0e-04,14.0
173,3.178801,2.781891,0.396909,3.141210,2.757836,0.383374,9.8e-05,14.9
174,3.174916,2.777954,0.396961,3.138274,2.767486,0.370788,9.2e-05,14.4
175,3.176527,2.780655,0.395871,3.148898,2.770760,0.378138,8.6e-05,14.3
176,3.166830,2.773559,0.393271,3.160087,2.771811,0.388277,8.0e-05,14.4
177,3.160842,2.764778,0.396063,3.140760,2.757005,0.383755,7.4e-05,14.3
178,3.158722,2.763748,0.394974,3.132080,2.752310,0.379770,6.9e-05,14.3
179,3.158107,2.765571,0.392536,3.124471,2.749748,0.374723,6.4e-05,14.4
180,3.155330,2.762893,0.392436,3.144555,2.763252,0.381303,5.9e-05,14.4
181,3.158928,2.765828,0.393100,3.141784,2.760845,0.380940,5.4e-05,14.2
182,3.147109,2.755796,0.391314,3.143164,2.758140,0.385024,5.0e-05,14.4
183,3.148555,2.753907,0.394648,3.144879,2.773523,0.371356,4.5e-05,14.5
184,3.146663,2.756249,0.390414,3.122230,2.745852,0.376378,4.1e-05,14.2
