epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
123,1.529772,0.422520,-3.778509,1.546724,3.3e-04,94.2
124,1.528730,0.423020,-3.778953,1.520373,3.2e-04,94.5
125,1.526937,0.423159,-3.778749,1.533567,3.2e-04,94.5
126,1.526888,0.424941,-3.779761,1.526199,3.1e-04,94.3
127,1.524054,0.423867,-3.779102,1.535665,3.0e-04,94.2
128,1.523368,0.423767,-3.778543,1.527498,2.9e-04,94.3
129,1.521738,0.423019,-3.778069,1.508788,2.9e-04,94.4
130,1.519790,0.425391,-3.780492,1.514802,2.8e-04,94.4
131,1.517955,0.424323,-3.780650,1.506979,2.7e-04,94.4
132,1.516009,0.424602,-3.780269,1.562282,2.7e-04,94.4
133,1.513449,0.423660,-3.779796,1.503393,2.6e-04,94.4
134,1.511602,0.424228,-3.779846,1.499948,2.5e-04,94.5
135,1.512410,0.425451,-3.779980,1.514924,2.5e-04,94.4
136,1.511621,0.426430,-3.780900,1.574808,2.4e-04,94.4
137,1.510566,0.425586,-3.780873,1.532651,2.3e-04,94.2
138,1.509482,0.425436,-3.780542,1.499861,2.3e-04,94.4
139,1.507699,0.426740,-3.781675,1.490104,2.2e-04,94.4
140,1.506157,0.425848,-3.781085,1.508559,2.1e-04,94.5
141,1.503129,0.425654,-3.781346,1.507146,2.1e-04,94.8
142,1.501180,0.425995,-3.781967,1.559923,2.0e-04,94.4
143,1.501632,0.425851,-3.781636,1.480156,2.0e-04,94.2
144,1.500744,0.427443,-3.782408,1.491861,1.9e-04,94.4
145,1.499549,0.427104,-3.782321,1.487967,1.8e-04,94.3
146,1.497779,0.427215,-3.782744,1.490078,1.8e-04,94.3
147,1.496894,0.427052,-3.782861,1.486665,1.7e-04,94.4
148,1.496621,0.427203,-3.782426,1.490027,1.7e-04,94.4
149,1.493740,0.426801,-3.782816,1.494338,1.6e-04,94.5
150,1.493192,0.427380,-3.782595,1.502768,1.5e-04,94.5
151,1.493720,0.428409,-3.783123,1.480461,1.5e-04,94.5
152,1.492189,0.429524,-3.783607,1.500395,1.4e-04,94.4
153,1.490266,0.428798,-3.782924,1.487039,1.4e-04,94.3
154,1.490384,0.428712,-3.783449,1.492513,1.3e-04,94.3
155,1.488112,0.427508,-3.782303,1.468779,1.3e-04,94.3
156,1.487615,0.428198,-3.783227,1.491075,1.2e-04,94.3
157,1.487236,0.429345,-3.783864,1.470269,1.2e-04,94.5
158,1.486110,0.429472,-3.784158,1.478713,1.1e-04,94.5
159,1.484965,0.429645,-3.784178,1.475672,1.1e-04,94.5
160,1.484685,0.430256,-3.784206,1.474371,1.0e-04,94.5
161,1.484530,0.430289,-3.784058,1.487484,1.0e-04,94.3
162,1.482920,0.429518,-3.784360,1.482955,9.6e-05,94.5
163,1.481609,0.429648,-3.783645,1.475095,9.1e-05,94.5
164,1.481806,0.430756,-3.783808,1.474444,8.7e-05,94.5
165,1.480460,0.430796,-3.783716,1.475973,8.3e-05,94.2
166,1.480435,0.430676,-3.784118,1.475916,7.9e-05,94.3
167,1.479468,0.430341,-3.784482,1.471377,7.5e-05,94.6
168,1.477714,0.430297,-3.784477,1.500904,7.1e-05,94.3
169,1.477773,0.430766,-3.784622,1.468959,6.8e-05,94.4
170,1.477062,0.430953,-3.784715,1.476851,6.4e-05,94.3
171,1.476997,0.431442,-3.784831,1.477011,6.0e-05,94.3
172,1.476422,0.431529,-3.784576,1.464901,5.7e-05,94.4
173,1.475588,0.431443,-3.784753,1.468840,5.4e-05,94.3
174,1.475195,0.431687,-3.784755,1.468024,5.1e-05,94.2
175,1.474938,0.432261,-3.785184,1.467134,4.8e-05,94.2
176,1.474474,0.432210,-3.785029,1.465013,4.5e-05,94.4
177,1.473707,0.431889,-3.785230,1.467043,4.2e-05,94.3
178,1.473339,0.431651,-3.785055,1.478094,3.9e-05,94.4
179,1.472559,0.431525,-3.785288,1.473701,3.7e-05,94.2
180,1.472482,0.431617,-3.785086,1.467333,3.4e-05,94.3
181,1.471810,0.431499,-3.785160,1.467602,3.2e-05,94.4
182,1.470822,0.431664,-3.785327,1.472657,3.0e-05,94.3
183,1.470912,0.431894,-3.785362,1.465763,2.8e-05,94.5
184,1.470705,0.432351,-3.786009,1.465545,2.6e-05,94.4
185,1.470436,0.432124,-3.785663,1.464773,2.4e-05,94.6
186,1.470319,0.432152,-3.785718,1.464356,2.2e-05,94.4
187,1.469466,0.432233,-3.785765,1.467225,2.0e-05,94.5
188,1.469199,0.432520,-3.785710,1.467107,1.9e-05,94.3
189,1.469231,0.432675,-3.785466,1.468581,1.7e-05,94.3
190,1.469503,0.432667,-3.785584,1.464994,1.6e-05,94.2
191,1.468787,0.432749,-3.785375,1.463371,1.5e-05,94.1
192,1.469096,0.432926,-3.785791,1.466941,1.4e-05,94.2
193,1.469056,0.432892,-3.785856,1.464235,1.3e-05,94.2
194,1.468439,0.432588,-3.785996,1.472342,1.2e-05,94.2
195,1.468117,0.432492,-3.785955,1.468676,1.2e-05,94.2
196,1.468199,0.432484,-3.785696,1.462595,1.1e-05,94.3
197,1.468610,0.432722,-3.785886,1.462946,1.1e-05,94.3
198,1.468012,0.432656,-3.785908,1.464448,1.0e-05,94.2
199,1.468050,0.432660,-3.785939,1.462622,1.0e-05,94.5
200,1.467626,0.432643,-3.786052,1.462910,1.0e-05,94.5
