epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
66,2.406386,2.370656,0.3332,0.8176,0.8345,0.8259,0.3573,2.468610,2.439328,0.3217,0.6023,0.8172,0.6935,0.2928,0.0622,1.6e-03,102.0
67,2.423504,2.388063,0.3299,0.7945,0.8471,0.8200,0.3544,2.473580,2.445171,0.3199,0.6235,0.8138,0.7061,0.2841,0.0501,1.6e-03,101.4
68,2.406949,2.371735,0.3330,0.7933,0.8426,0.8172,0.3521,2.469379,2.440384,0.3212,0.5077,0.8753,0.6426,0.2900,0.0624,1.6e-03,101.9
69,2.397508,2.362287,0.3344,0.8189,0.8385,0.8286,0.3522,2.496449,2.466450,0.3161,0.6677,0.7701,0.7152,0.3000,0.0989,1.5e-03,101.5
70,2.399025,2.363922,0.3342,0.8209,0.8352,0.8280,0.3510,2.456798,2.427236,0.3232,0.5778,0.8362,0.6834,0.2956,0.0578,1.5e-03,101.9
71,2.403811,2.368823,0.3340,0.8058,0.8390,0.8221,0.3499,2.460268,2.431788,0.3239,0.6541,0.7954,0.7178,0.2848,0.0565,1.5e-03,101.5
72,2.388442,2.353619,0.3365,0.8349,0.8264,0.8306,0.3482,2.476994,2.446302,0.3198,0.7014,0.7655,0.7321,0.3069,0.0886,1.5e-03,101.9
73,2.375218,2.340661,0.3406,0.8445,0.8434,0.8440,0.3456,2.459545,2.430827,0.3223,0.6363,0.8264,0.7190,0.2872,0.0843,1.5e-03,101.5
74,2.386440,2.351600,0.3390,0.8137,0.8465,0.8298,0.3484,2.491615,2.462137,0.3146,0.6521,0.7983,0.7178,0.2948,0.1052,1.5e-03,102.9
75,2.392957,2.358055,0.3382,0.8102,0.8451,0.8273,0.3490,2.492715,2.463491,0.3150,0.5610,0.8454,0.6745,0.2922,0.0998,1.5e-03,102.6
76,2.386733,2.351932,0.3385,0.8128,0.8393,0.8258,0.3480,2.441896,2.413293,0.3270,0.6067,0.8351,0.7028,0.2860,0.0552,1.4e-03,103.0
77,2.383536,2.349272,0.3400,0.8176,0.8486,0.8328,0.3426,2.478662,2.448882,0.3177,0.5300,0.8644,0.6571,0.2978,0.0951,1.4e-03,103.2
78,2.373993,2.339568,0.3413,0.8288,0.8425,0.8356,0.3442,2.428687,2.400275,0.3295,0.5906,0.8540,0.6983,0.2841,0.0547,1.4e-03,101.3
79,2.365142,2.330818,0.3448,0.8239,0.8465,0.8350,0.3432,2.440424,2.410497,0.3287,0.5639,0.8649,0.6827,0.2993,0.0753,1.4e-03,101.7
80,2.361163,2.326775,0.3442,0.8275,0.8453,0.8363,0.3439,2.439725,2.410905,0.3255,0.6353,0.8339,0.7212,0.2882,0.0786,1.4e-03,101.2
81,2.361512,2.327201,0.3439,0.8178,0.8424,0.8299,0.3431,2.414888,2.386282,0.3323,0.7069,0.7816,0.7424,0.2861,0.0534,1.4e-03,101.7
82,2.352801,2.318444,0.3470,0.8185,0.8532,0.8355,0.3436,2.418442,2.390027,0.3315,0.5853,0.8443,0.6913,0.2842,0.0656,1.4e-03,101.2
83,2.376795,2.342182,0.3423,0.8296,0.8493,0.8393,0.3461,2.419027,2.390285,0.3309,0.6126,0.8425,0.7094,0.2874,0.0422,1.3e-03,101.7
84,2.353069,2.318726,0.3463,0.8371,0.8524,0.8447,0.3434,2.479508,2.449460,0.3190,0.7431,0.7397,0.7414,0.3005,0.1264,1.3e-03,101.2
85,2.359588,2.325097,0.3454,0.8387,0.8431,0.8409,0.3449,2.414309,2.385744,0.3324,0.6826,0.7971,0.7354,0.2856,0.0547,1.3e-03,101.7
86,2.336558,2.302257,0.3498,0.8349,0.8419,0.8384,0.3430,2.519325,2.490152,0.3097,0.6901,0.7885,0.7361,0.2917,0.1828,1.3e-03,101.2
87,2.353899,2.319739,0.3479,0.8301,0.8516,0.8407,0.3416,2.409180,2.381622,0.3333,0.6414,0.8305,0.7238,0.2756,0.0553,1.3e-03,101.7
88,2.335910,2.301539,0.3499,0.8188,0.8504,0.8343,0.3437,2.411057,2.383234,0.3339,0.6026,0.8540,0.7066,0.2782,0.0751,1.3e-03,101.2
89,2.346037,2.311774,0.3488,0.8246,0.8515,0.8378,0.3426,2.419606,2.391423,0.3309,0.6429,0.8402,0.7285,0.2818,0.0736,1.3e-03,101.7
90,2.343602,2.308724,0.3490,0.8264,0.8441,0.8351,0.3488,2.423523,2.394878,0.3303,0.6665,0.8236,0.7368,0.2865,0.0799,1.2e-03,101.2
91,2.332170,2.297388,0.3524,0.8186,0.8571,0.8374,0.3478,2.397268,2.368928,0.3358,0.5992,0.8523,0.7037,0.2834,0.0651,1.2e-03,101.6
92,2.326713,2.291845,0.3511,0.8127,0.8535,0.8326,0.3487,2.410938,2.382718,0.3342,0.5376,0.8799,0.6674,0.2822,0.0842,1.2e-03,101.3
93,2.333392,2.298725,0.3523,0.8237,0.8614,0.8421,0.3467,2.407947,2.378882,0.3343,0.6187,0.8477,0.7153,0.2907,0.0746,1.2e-03,101.8
94,2.323592,2.289198,0.3544,0.8051,0.8580,0.8307,0.3439,2.395251,2.366806,0.3357,0.6873,0.7971,0.7382,0.2844,0.0717,1.2e-03,101.3
95,2.317889,2.283914,0.3539,0.8001,0.8472,0.8230,0.3397,2.409088,2.380735,0.3331,0.6741,0.8034,0.7331,0.2835,0.0912,1.2e-03,101.6
96,2.331352,2.297308,0.3538,0.8285,0.8611,0.8445,0.3404,2.425557,2.396426,0.3291,0.5912,0.8586,0.7003,0.2913,0.0942,1.1e-03,101.2
97,2.319024,2.285069,0.3554,0.8303,0.8579,0.8439,0.3395,2.397273,2.368823,0.3368,0.5776,0.8511,0.6882,0.2845,0.0782,1.1e-03,101.6
98,2.320616,2.286482,0.3556,0.8339,0.8599,0.8467,0.3413,2.394281,2.366838,0.3364,0.6169,0.8431,0.7125,0.2744,0.0737,1.1e-03,101.2
99,2.314399,2.280144,0.3568,0.8220,0.8565,0.8389,0.3426,2.402295,2.373690,0.3354,0.5211,0.8891,0.6570,0.2860,0.0879,1.1e-03,101.8
100,2.311584,2.277189,0.3569,0.8355,0.8546,0.8449,0.3439,2.386903,2.358417,0.3382,0.5727,0.8718,0.6913,0.2849,0.0753,1.1e-03,101.7
101,2.307029,2.272566,0.3592,0.8384,0.8565,0.8473,0.3446,2.403581,2.374186,0.3368,0.6363,0.8356,0.7225,0.2939,0.0966,1.1e-03,101.4
102,2.300368,2.266129,0.3603,0.8354,0.8521,0.8437,0.3424,2.394174,2.365825,0.3378,0.6125,0.8477,0.7112,0.2835,0.0938,1.1e-03,101.7
103,2.310312,2.275849,0.3590,0.8468,0.8569,0.8518,0.3446,2.392833,2.363088,0.3367,0.6443,0.8264,0.7241,0.2975,0.0825,1.0e-03,101.3
