epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
79,2.996902,2.522930,0.2847,0.8642,0.8178,0.8404,0.4740,2.883260,2.423698,0.3048,0.6542,0.8434,0.7368,0.4596,-0.1136,2.9e-03,173.7
80,2.986323,2.519715,0.2852,0.8620,0.8177,0.8393,0.4666,2.891732,2.424326,0.3049,0.5954,0.8902,0.7136,0.4674,-0.0946,2.9e-03,172.8
81,2.964723,2.514357,0.2862,0.8633,0.8249,0.8437,0.4504,2.871792,2.425070,0.3055,0.5546,0.9024,0.6870,0.4467,-0.0929,2.8e-03,172.8
82,2.959879,2.511778,0.2865,0.8664,0.8267,0.8461,0.4481,2.872103,2.420625,0.3054,0.6193,0.8498,0.7164,0.4515,-0.0878,2.8e-03,172.8
83,2.957659,2.511492,0.2867,0.8648,0.8154,0.8394,0.4462,2.860002,2.422875,0.3058,0.6182,0.8766,0.7250,0.4371,-0.0977,2.8e-03,173.7
84,2.958650,2.508239,0.2873,0.8614,0.8250,0.8428,0.4504,2.881076,2.423774,0.3054,0.5756,0.8854,0.6977,0.4573,-0.0776,2.8e-03,172.8
85,2.954767,2.504624,0.2880,0.8619,0.8204,0.8406,0.4501,2.866643,2.424777,0.3060,0.5815,0.8878,0.7027,0.4419,-0.0881,2.7e-03,172.8
86,2.950795,2.503320,0.2882,0.8652,0.8268,0.8456,0.4475,2.860214,2.414715,0.3069,0.7050,0.8263,0.7608,0.4455,-0.0906,2.7e-03,172.9
87,2.944259,2.499852,0.2887,0.8664,0.8227,0.8440,0.4444,2.861840,2.416225,0.3064,0.6846,0.8439,0.7560,0.4456,-0.0824,2.7e-03,172.9
88,2.943250,2.498499,0.2890,0.8651,0.8266,0.8454,0.4448,2.850650,2.412294,0.3079,0.5839,0.8907,0.7054,0.4384,-0.0926,2.7e-03,173.8
89,2.941425,2.497346,0.2894,0.8660,0.8244,0.8447,0.4441,2.862381,2.410541,0.3078,0.6797,0.8415,0.7520,0.4518,-0.0790,2.6e-03,172.8
