epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
185,2.591224,1.355793,0.5522,0.8443,0.7305,0.7833,1.2354,2.986059,1.335057,0.5634,0.6436,0.7488,0.6922,1.6510,0.3948,6.4e-05,88.7,2.919141,2.919141,2.845066,2.845066,-0.0741,5.354184e+00,5.354184e+00,,100.00,40.22,100.00,40.90
186,2.577437,1.346273,0.5542,0.8445,0.7305,0.7834,1.2312,3.112048,1.328378,0.5661,0.6375,0.7463,0.6876,1.7837,0.5346,6.2e-05,88.6,2.910322,2.910322,2.849121,2.849121,-0.0612,5.023519e+00,5.023519e+00,,100.00,39.68,100.00,39.26
187,2.564730,1.339364,0.5557,0.8453,0.7347,0.7862,1.2254,2.988223,1.325710,0.5662,0.6299,0.7512,0.6852,1.6625,0.4235,6.0e-05,88.8,2.911734,2.911734,2.846372,2.846372,-0.0654,5.220202e+00,5.220202e+00,,100.00,39.46,100.00,40.37
188,2.569838,1.342059,0.5551,0.8466,0.7359,0.7874,1.2278,3.121924,1.316095,0.5687,0.6326,0.7390,0.6817,1.8058,0.5521,5.9e-05,88.6,2.908062,2.908062,2.846304,2.846304,-0.0618,5.030663e+00,5.030663e+00,,100.00,39.62,100.00,38.80
189,2.589041,1.354219,0.5525,0.8390,0.7335,0.7827,1.2348,3.030754,1.326236,0.5655,0.6230,0.7415,0.6771,1.7045,0.4417,5.7e-05,88.6,2.912429,2.912429,2.833642,2.833642,-0.0788,5.074761e+00,5.074761e+00,,100.00,40.25,100.00,40.64
190,2.584154,1.351875,0.5529,0.8397,0.7340,0.7833,1.2323,3.032803,1.327922,0.5653,0.6549,0.7268,0.6890,1.7049,0.4486,5.6e-05,88.8,2.897671,2.897671,2.838433,2.838433,-0.0592,4.987351e+00,4.987351e+00,,100.00,40.28,100.00,39.88
191,2.586956,1.356276,0.5519,0.8432,0.7336,0.7846,1.2307,3.021401,1.324509,0.5660,0.6222,0.7390,0.6756,1.6969,0.4344,5.5e-05,88.7,2.906062,2.906062,2.855044,2.855044,-0.0510,5.244701e+00,5.244701e+00,,100.00,40.37,100.00,40.17
192,2.601443,1.366635,0.5501,0.8384,0.7330,0.7822,1.2348,2.866264,1.325830,0.5639,0.6319,0.7537,0.6874,1.5404,0.2648,5.4e-05,88.5,2.920219,2.920219,2.817346,2.817346,-0.1029,5.035044e+00,5.035044e+00,,100.00,41.16,100.00,40.77
193,2.605753,1.366378,0.5503,0.8389,0.7288,0.7800,1.2394,3.152068,1.319514,0.5678,0.6335,0.7463,0.6853,1.8326,0.5463,5.3e-05,88.4,2.910515,2.910515,2.862647,2.862647,-0.0479,4.985019e+00,4.985019e+00,,100.00,41.04,100.00,38.68
194,2.589930,1.355252,0.5523,0.8430,0.7328,0.7841,1.2347,2.737662,1.318635,0.5652,0.6496,0.7415,0.6925,1.4190,0.1477,5.2e-05,88.7,2.905477,2.905477,2.808476,2.808476,-0.0970,5.035644e+00,5.035644e+00,,100.00,40.58,100.00,41.57
195,2.584898,1.349900,0.5536,0.8399,0.7312,0.7818,1.2350,2.921998,1.314953,0.5681,0.6217,0.7537,0.6814,1.6070,0.3371,5.2e-05,88.8,2.906479,2.906479,2.822588,2.822588,-0.0839,5.186386e+00,5.186386e+00,,100.00,40.40,100.00,41.04
196,2.585039,1.349677,0.5538,0.8429,0.7336,0.7845,1.2354,3.192090,1.314605,0.5694,0.6180,0.7537,0.6791,1.8775,0.6071,5.1e-05,88.6,2.904600,2.904600,2.855458,2.855458,-0.0491,4.874818e+00,4.874818e+00,,100.00,40.49,100.00,38.60
197,2.576438,1.341988,0.5551,0.8416,0.7329,0.7835,1.2344,3.048146,1.318039,0.5675,0.6243,0.7659,0.6878,1.7301,0.4717,5.1e-05,88.7,2.898491,2.898491,2.858766,2.858766,-0.0397,4.987680e+00,4.987680e+00,,100.00,40.00,100.00,38.69
198,2.581454,1.345002,0.5544,0.8428,0.7271,0.7807,1.2365,2.827231,1.318401,0.5663,0.6387,0.7415,0.6862,1.5088,0.2458,5.0e-05,88.8,2.902726,2.902726,2.811023,2.811023,-0.0917,4.891295e+00,4.891295e+00,,100.00,40.17,100.00,40.85
199,2.581224,1.344639,0.5547,0.8405,0.7338,0.7835,1.2366,2.963198,1.317520,0.5678,0.6161,0.7634,0.6819,1.6457,0.3820,5.0e-05,88.7,2.897956,2.897956,2.819609,2.819609,-0.0783,5.043224e+00,5.043224e+00,,100.00,40.26,100.00,41.18
200,2.582632,1.347581,0.5542,0.8456,0.7390,0.7887,1.2351,3.135034,1.338739,0.5634,0.6015,0.7659,0.6738,1.7963,0.5524,5.0e-05,88.1,2.904840,2.904840,2.876761,2.876761,-0.0281,4.674944e+00,4.674944e+00,,100.00,40.56,100.00,40.08
