epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
56,3.005224,1.459029,0.5430,0.7620,0.5578,0.6441,1.5462,3.051760,1.369959,0.5629,0.7371,0.3488,0.4735,1.6818,0.0465,8.5e-04,88.6,4.589134,4.589134,4.336333,4.336333,-0.2528,1.623588e+01,1.623588e+01,,100.00,38.08,100.00,35.75
57,3.025592,1.472569,0.5402,0.7567,0.5659,0.6476,1.5530,3.111114,1.329642,0.5750,0.6098,0.5488,0.5777,1.7815,0.0855,8.4e-04,88.8,4.553649,4.553649,4.413383,4.413383,-0.1403,1.539887e+01,1.539887e+01,,100.00,38.36,100.00,34.62
58,2.974412,1.419818,0.5514,0.7640,0.5670,0.6509,1.5546,2.988322,1.340323,0.5715,0.5460,0.6366,0.5878,1.6480,0.0139,8.4e-04,88.8,4.521624,4.521624,4.369338,4.369338,-0.1523,1.480125e+01,1.480125e+01,,100.00,35.83,100.00,33.81
59,2.893986,1.382100,0.5594,0.7721,0.5840,0.6650,1.5119,3.146236,1.311963,0.5798,0.4848,0.7000,0.5729,1.8343,0.2523,8.3e-04,88.5,4.507344,4.507344,4.327611,4.327611,-0.1797,1.414789e+01,1.414789e+01,,100.00,33.87,100.00,32.62
60,2.968415,1.435784,0.5483,0.7731,0.5863,0.6668,1.5326,3.084964,1.317489,0.5774,0.5974,0.5683,0.5825,1.7675,0.1165,8.3e-04,88.7,4.483492,4.483492,4.385267,4.385267,-0.0982,1.496355e+01,1.496355e+01,,100.00,36.70,100.00,33.17
61,2.935778,1.401407,0.5554,0.7724,0.5752,0.6593,1.5344,2.929467,1.296661,0.5806,0.5862,0.6220,0.6036,1.6328,-0.0063,8.2e-04,88.7,4.482553,4.482553,4.434968,4.434968,-0.0476,1.737004e+01,1.737004e+01,,100.00,35.70,100.00,33.00
62,2.961114,1.422796,0.5514,0.7724,0.5852,0.6659,1.5383,2.902401,1.303963,0.5797,0.6039,0.6098,0.6068,1.5984,-0.0587,8.1e-04,88.7,4.513936,4.513936,4.221404,4.221404,-0.2925,1.488619e+01,1.488619e+01,,100.00,36.24,100.00,32.85
63,2.895477,1.384758,0.5597,0.7753,0.5833,0.6657,1.5107,2.919808,1.295854,0.5827,0.5565,0.6488,0.5991,1.6240,0.0243,8.1e-04,88.7,4.426978,4.426978,4.257369,4.257369,-0.1696,1.420054e+01,1.420054e+01,,100.00,35.05,100.00,31.85
64,2.918101,1.406498,0.5545,0.7771,0.5948,0.6738,1.5116,3.024752,1.305981,0.5801,0.6036,0.5756,0.5893,1.7188,0.1067,8.0e-04,88.6,4.410864,4.410864,4.201280,4.201280,-0.2096,1.467771e+01,1.467771e+01,,100.00,35.01,100.00,32.13
65,2.924827,1.405316,0.5533,0.7732,0.5923,0.6708,1.5195,2.962637,1.344581,0.5713,0.5589,0.6366,0.5952,1.6181,0.0378,7.9e-04,88.8,4.388136,4.388136,4.151222,4.151222,-0.2369,1.455257e+01,1.455257e+01,,100.00,34.43,100.00,34.96
66,2.907186,1.402744,0.5550,0.7783,0.5892,0.6707,1.5044,3.008817,1.302612,0.5821,0.6308,0.6000,0.6150,1.7062,0.1016,7.9e-04,89.0,4.371727,4.371727,4.133990,4.133990,-0.2377,1.467614e+01,1.467614e+01,,100.00,34.41,100.00,33.07
67,2.873408,1.389365,0.5580,0.7764,0.6030,0.6788,1.4840,3.032199,1.276034,0.5879,0.5684,0.6488,0.6059,1.7562,0.1588,7.8e-04,88.3,4.281804,4.281804,4.085878,4.085878,-0.1959,1.357009e+01,1.357009e+01,,100.00,34.28,100.00,30.52
68,2.881393,1.401291,0.5558,0.7780,0.5953,0.6745,1.4801,3.019386,1.315398,0.5781,0.6032,0.6341,0.6183,1.7040,0.1380,7.8e-04,88.7,4.291638,4.291638,4.121332,4.121332,-0.1703,1.431277e+01,1.431277e+01,,100.00,35.05,100.00,32.48
69,2.859169,1.376455,0.5615,0.7811,0.5931,0.6743,1.4827,2.980004,1.279216,0.5884,0.5565,0.6244,0.5885,1.7008,0.1208,7.7e-04,88.7,4.276697,4.276697,4.066495,4.066495,-0.2102,1.345392e+01,1.345392e+01,,100.00,33.74,100.00,30.03
70,2.835391,1.373169,0.5616,0.7823,0.6123,0.6870,1.4622,2.955212,1.253127,0.5930,0.5448,0.6976,0.6118,1.7021,0.1198,7.6e-04,88.8,4.204415,4.204415,3.939730,3.939730,-0.2647,1.342047e+01,1.342047e+01,,100.00,33.90,100.00,30.33
71,2.785996,1.340160,0.5686,0.7911,0.6170,0.6933,1.4458,2.909336,1.257018,0.5925,0.4618,0.7220,0.5633,1.6523,0.1233,7.6e-04,88.6,4.136700,4.136700,4.005702,4.005702,-0.1310,1.281211e+01,1.281211e+01,,100.00,32.96,100.00,29.19
72,2.796059,1.345112,0.5667,0.7910,0.6224,0.6967,1.4509,3.027609,1.241951,0.5968,0.6158,0.6098,0.6127,1.7857,0.2316,7.5e-04,88.8,4.129210,4.129210,4.001694,4.001694,-0.1275,1.227958e+01,1.227958e+01,,100.00,32.34,100.00,27.93
73,2.846460,1.374359,0.5611,0.7768,0.6099,0.6833,1.4721,3.153448,1.330052,0.5765,0.5218,0.7000,0.5979,1.8234,0.3070,7.4e-04,88.6,4.104802,4.104802,4.166322,4.166322,0.0615,1.243045e+01,1.243045e+01,,100.00,33.71,100.00,33.67
74,2.832480,1.365953,0.5617,0.7771,0.6091,0.6829,1.4665,3.312650,1.286268,0.5837,0.6436,0.5683,0.6036,2.0264,0.4802,7.4e-04,88.9,4.101922,4.101922,4.076343,4.076343,-0.0256,1.361482e+01,1.361482e+01,,100.00,32.92,100.00,28.51
75,2.891303,1.407482,0.5530,0.7817,0.6202,0.6917,1.4838,2.974103,1.331441,0.5715,0.6345,0.5927,0.6129,1.6427,0.0828,7.3e-04,88.9,4.116239,4.116239,4.080697,4.080697,-0.0355,1.282876e+01,1.282876e+01,,100.00,34.38,100.00,31.64
76,2.882849,1.379420,0.5607,0.7901,0.6248,0.6978,1.5034,2.892228,1.301388,0.5787,0.4920,0.7537,0.5954,1.5908,0.0094,7.2e-04,88.7,4.112315,4.112315,3.899815,3.899815,-0.2125,1.274065e+01,1.274065e+01,,100.00,33.22,100.00,33.36
77,2.840885,1.367677,0.5626,0.7923,0.6318,0.7030,1.4732,2.906918,1.278743,0.5839,0.5717,0.6902,0.6254,1.6282,0.0660,7.1e-04,88.6,4.044151,4.044151,3.977965,3.977965,-0.0662,1.226822e+01,1.226822e+01,,100.00,33.26,100.00,31.52
78,2.857121,1.376112,0.5600,0.7906,0.6156,0.6922,1.4810,2.865701,1.245860,0.5929,0.6126,0.6171,0.6148,1.6198,0.0086,7.1e-04,88.5,4.059551,4.059551,3.853374,3.853374,-0.2062,1.270608e+01,1.270608e+01,,100.00,33.45,100.00,29.63
79,2.812840,1.354753,0.5644,0.7954,0.6286,0.7022,1.4581,2.908462,1.218263,0.5994,0.6361,0.5927,0.6136,1.6902,0.0956,7.0e-04,88.5,3.987740,3.987740,3.925132,3.925132,-0.0626,1.232329e+01,1.232329e+01,,100.00,33.78,100.00,29.10
80,2.763241,1.338386,0.5675,0.7966,0.6397,0.7096,1.4249,2.901655,1.263955,0.5869,0.5226,0.7049,0.6002,1.6377,0.1384,6.9e-04,88.7,3.936250,3.936250,3.800315,3.800315,-0.1359,1.245808e+01,1.245808e+01,,100.00,33.33,100.00,31.93
81,2.767169,1.335615,0.5681,0.7944,0.6436,0.7111,1.4316,2.935497,1.230317,0.5943,0.4853,0.7634,0.5934,1.7052,0.1683,6.9e-04,88.7,3.898128,3.898128,3.756425,3.756425,-0.1417,1.150600e+01,1.150600e+01,,100.00,33.09,100.00,29.75
82,2.746074,1.324654,0.5686,0.7920,0.6449,0.7109,1.4214,2.722166,1.245404,0.5915,0.5601,0.7049,0.6242,1.4768,-0.0239,6.8e-04,88.6,3.874840,3.874840,3.738058,3.738058,-0.1368,1.187429e+01,1.187429e+01,,100.00,32.69,100.00,29.27
83,2.753034,1.320071,0.5703,0.7972,0.6434,0.7120,1.4330,2.921066,1.218240,0.5982,0.6302,0.6317,0.6309,1.7028,0.1680,6.7e-04,88.6,3.856463,3.856463,3.645690,3.645690,-0.2108,1.200650e+01,1.200650e+01,,100.00,32.49,100.00,29.56
84,2.758220,1.318821,0.5704,0.8042,0.6454,0.7161,1.4394,2.894441,1.206671,0.6006,0.6527,0.6098,0.6305,1.6878,0.1362,6.6e-04,88.5,3.814054,3.814054,3.661575,3.661575,-0.1525,1.103770e+01,1.103770e+01,,100.00,32.59,100.00,29.16
85,2.695542,1.297571,0.5747,0.8026,0.6432,0.7141,1.3980,3.090359,1.255576,0.5890,0.5404,0.6683,0.5976,1.8348,0.3948,6.6e-04,88.8,3.737283,3.737283,3.735711,3.735711,-0.0016,1.087584e+01,1.087584e+01,,100.00,32.06,100.00,29.97
86,2.709549,1.309097,0.5717,0.7986,0.6418,0.7117,1.4005,2.859387,1.222466,0.5972,0.6096,0.6512,0.6297,1.6369,0.1498,6.5e-04,88.5,3.747014,3.747014,3.585389,3.585389,-0.1616,1.091465e+01,1.091465e+01,,100.00,32.25,100.00,28.79
87,2.693321,1.301462,0.5737,0.8025,0.6568,0.7224,1.3919,2.970383,1.205790,0.6009,0.6528,0.6146,0.6332,1.7646,0.2771,6.4e-04,88.3,3.700941,3.700941,3.563839,3.563839,-0.1371,1.046735e+01,1.046735e+01,,100.00,32.55,100.00,29.07
88,2.692429,1.311944,0.5708,0.8072,0.6639,0.7286,1.3805,2.990971,1.270509,0.5852,0.6219,0.6659,0.6431,1.7205,0.2985,6.3e-04,88.5,3.686010,3.686010,3.572501,3.572501,-0.1135,1.050470e+01,1.050470e+01,,100.00,33.37,100.00,32.48
89,2.844723,1.398562,0.5520,0.8013,0.6548,0.7207,1.4462,2.949281,1.291660,0.5792,0.5849,0.6634,0.6217,1.6576,0.1046,6.3e-04,89.0,3.772653,3.772653,3.579105,3.579105,-0.1935,1.248342e+01,1.248342e+01,,100.00,36.52,100.00,32.81
90,2.722465,1.318031,0.5704,0.8138,0.6606,0.7292,1.4044,3.167528,1.237499,0.5929,0.6345,0.6098,0.6219,1.9300,0.4451,6.2e-04,88.7,3.688608,3.688608,3.591550,3.591550,-0.0971,1.124657e+01,1.124657e+01,,100.00,33.26,100.00,28.20
91,2.756749,1.344717,0.5634,0.8091,0.6659,0.7305,1.4120,2.977083,1.291472,0.5788,0.6515,0.5927,0.6207,1.6856,0.2203,6.1e-04,88.5,3.674298,3.674298,3.537833,3.537833,-0.1365,1.156394e+01,1.156394e+01,,100.00,34.12,100.00,32.45
